Code,Name,Theme,Close,Volume,Daily_Chg%,Daily_Amount_B,Weekly_Chg%,Weekly_Amount_B,Monthly_Chg%,Monthly_Amount_B
NVDA,NVIDIA,AI 龍頭,188.85,146186971.0,1.26,27.61,0.13,27.61,4.07,27.61
MSFT,Microsoft,軟體/雲端,472.94,25467273.0,-2.21,12.04,-3.09,12.04,-3.48,12.04
AAPL,Apple,消費電子,271.01,37746172.0,-0.31,10.23,-1.02,10.23,-5.3,10.23
AMZN,Amazon,電商/AWS,226.5,51076147.0,-1.87,11.57,-2.53,11.57,-3.38,11.57
GOOG,Alphabet,搜尋引擎,315.32,21973974.0,0.48,6.93,-0.11,6.93,-0.22,6.93
META,Meta,社群/廣告,650.41,13681484.0,-1.47,8.9,-2.57,8.9,0.51,8.9
TSLA,Tesla,電動車,438.07,84769853.0,-2.59,37.14,-9.75,37.14,2.06,37.14
TSM,TSMC,晶圓代工,319.61,17029213.0,5.17,5.44,6.96,5.44,9.42,5.44
AVGO,Broadcom,網通/ASIC,347.62,24851692.0,0.44,8.64,-0.74,8.64,-8.9,8.64
AMD,AMD,CPU/GPU,223.47,36277375.0,4.35,8.11,3.92,8.11,3.82,8.11
INTC,Intel,半導體,39.38,93365917.0,6.72,3.68,8.9,3.68,-9.41,3.68
MU,Micron,記憶體,315.42,41881364.0,10.51,13.21,10.03,13.21,31.7,13.21
QCOM,Qualcomm,手機晶片,172.98,6450610.0,1.13,1.12,-1.02,1.12,1.34,1.12
TXN,Texas Inst,類比IC,177.52,5754422.0,2.32,1.02,0.22,1.02,1.29,1.02
AMAT,Applied Mat,設備,268.87,7532019.0,4.62,2.03,3.1,2.03,1.33,2.03
LRCX,Lam Research,設備,185.06,11845779.0,8.11,2.19,4.36,2.19,16.99,2.19
SMCI,Super Micro,伺服器,30.96,30128129.0,5.77,0.93,1.34,0.93,-5.95,0.93
ORCL,Oracle,資料庫,195.71,12051707.0,0.41,2.36,-0.9,2.36,-2.68,2.36
ADBE,Adobe,創意軟體,333.3,5522728.0,-4.77,1.84,-5.58,1.84,3.25,1.84
CRM,Salesforce,CRM,253.62,9671847.0,-4.26,2.45,-4.39,2.45,8.06,2.45
CRWD,CrowdStrike,資安,453.58,3278573.0,-3.24,1.49,-4.93,1.49,-12.19,1.49
PLTR,Palantir,大數據/AI,167.86,59996535.0,-5.56,10.07,-13.55,10.07,-1.66,10.07
PANW,Palo Alto,資安,179.37,6806080.0,-2.62,1.22,-4.19,1.22,-5.54,1.22
JPM,JPMorgan,銀行龍頭,325.48,8034784.0,1.01,2.62,-1.12,2.62,5.72,2.62
V,Visa,支付,346.48,4574563.0,-1.21,1.58,-2.44,1.58,5.11,1.58
MA,Mastercard,支付,563.13,3901573.0,-1.36,2.2,-2.82,2.2,3.15,2.2
PYPL,PayPal,支付,58.14,14158237.0,-0.41,0.82,-3.16,0.82,-7.57,0.82
COIN,Coinbase,加密交易所,236.53,8602915.0,4.59,2.03,-1.33,2.03,-10.15,2.03
MSTR,MicroStrategy,比特幣持倉,157.16,19957428.0,3.43,3.14,-0.98,3.14,-13.33,3.14
WMT,Walmart,零售龍頭,112.76,14031251.0,1.21,1.58,1.03,1.58,0.31,1.58
COST,Costco,量販,854.5,2226933.0,-0.91,1.9,-1.99,1.9,-7.32,1.9
LLY,Eli Lilly,減肥藥,1080.36,1798678.0,0.53,1.94,0.31,1.94,3.27,1.94
JNJ,J&J,醫療保健,207.35,6259908.0,0.19,1.3,-0.21,1.3,0.94,1.3
NFLX,Netflix,串流,90.99,40816199.0,-2.95,3.71,-2.83,3.71,-16.79,3.71
DIS,Disney,娛樂,111.85,7569990.0,-1.69,0.85,-2.3,0.85,6.7,0.85
XOM,Exxon Mobil,石油,122.65,14146011.0,1.92,1.74,2.88,1.74,6.3,1.74
BTC-USD,Bitcoin,加密貨幣,90057.1,45788966912.0,1.49,4123621.64,2.53,4123621.64,-0.24,4123621.64
^VIX,VIX Index,恐慌指數,14.51,0.0,-2.94,0.0,7.72,0.0,-12.54,0.0
