Date,Code,Name,EntryPrice,PctChange,Note,LatestPrice,ReturnPct,HoldDays
2026-04-01,3081,聯亞,1730.0,9.84,漲停,2175.0,25.72,14.0
2026-04-01,3163,波若威,866.0,9.9,漲停,1200.0,38.57,14.0
2026-04-01,3221,台嘉碩,38.8,9.92,漲停,37.8,-2.58,14.0
2026-04-01,3259,鑫創,17.8,9.54,漲停,17.5,-1.69,14.0
2026-04-01,3260,威剛,368.5,10.0,漲停,376.0,2.04,14.0
2026-04-01,3363,上詮,605.0,10.0,漲停,748.0,23.64,14.0
2026-04-01,4911,德英,37.75,9.9,漲停,37.2,-1.46,14.0
2026-04-01,5475,德宏,224.5,9.78,漲停,316.0,40.76,14.0
2026-04-01,6113,亞矽,20.45,9.95,漲停,21.75,6.36,14.0
2026-04-01,6419,京晨科,98.0,9.99,漲停,121.5,23.98,14.0
2026-04-01,6462,神盾,107.5,9.92,漲停,105.5,-1.86,14.0
2026-04-01,4973,廣穎,67.9,9.87,漲停,79.8,17.53,14.0
2026-04-01,4979,華星光,375.5,9.96,漲停,485.0,29.16,14.0
2026-04-01,5016,松和,31.4,9.98,漲停,28.7,-8.6,14.0
2026-04-01,5289,宜鼎,931.0,9.92,漲停,1180.0,26.75,14.0
2026-04-01,5351,鈺創,70.2,9.86,漲停,68.4,-2.56,14.0
2026-04-01,6147,頎邦,76.4,9.93,漲停,113.0,47.91,14.0
2026-04-01,6151,晉倫,33.55,10.0,漲停,37.25,11.03,14.0
2026-04-01,6187,萬潤,891.0,10.0,漲停,1035.0,16.16,14.0
2026-04-01,6217,中探針,179.5,9.79,漲停,218.0,21.45,14.0
2026-04-01,6223,旺矽,3950.0,9.87,漲停,4560.0,15.44,14.0
2026-04-01,4304,勝昱,26.4,10.0,漲停,27.5,4.17,14.0
2026-04-01,6584,南俊國際,610.0,9.71,漲停,698.0,14.43,14.0
2026-04-01,6588,東典光電,132.5,9.96,漲停,143.5,8.3,14.0
