Date,Code,Name,EntryPrice,LatestPrice,ReturnPct,HoldDays,Note
2026-09-01,4971,IET-KY,660.0,581.0,-11.97,21,漲停
2026-09-01,6727,亞泰金屬,576.0,478.0,-17.01,21,漲停
2026-09-01,4908,前鼎,229.5,232.0,1.09,21,漲停
2026-09-01,3680,家登,542.0,548.0,1.11,21,漲停
2026-09-01,3691,碩禾,106.5,100.5,-5.63,21,漲停
2026-09-01,3324,雙鴻,1375.0,1520.0,10.55,21,漲停
2026-09-01,3529,力旺,2640.0,2830.0,7.2,21,漲停
2026-09-01,6510,精測,3125.0,3485.0,11.52,21,漲停
2026-09-01,6538,倉和,226.0,426.5,88.72,21,漲停
2026-09-01,3105,穩懋,492.0,490.5,-0.3,21,漲停
2026-09-01,3141,晶宏,90.5,92.8,2.54,21,漲停
2026-09-01,6182,合晶,116.0,115.0,-0.86,21,漲停
2026-09-01,6217,中探針,189.5,175.5,-7.39,21,漲停
2026-09-01,8040,九暘,75.4,83.5,10.74,21,漲停
2026-09-01,8111,立碁,75.4,80.6,6.9,21,漲停
2026-09-01,6870,騰雲,277.0,312.0,12.64,21,漲停
2026-09-01,1714,和桐,18.55,15.95,-14.02,21,漲停
2026-09-01,1617,榮星,19.6,19.4,-1.02,21,漲停
2026-09-01,2243,宏旭-KY,46.2,54.0,16.88,21,漲停
2026-09-01,3715,定穎投控,132.5,118.5,-10.57,21,漲停
2026-09-01,2426,鼎元,107.5,99.8,-7.16,21,漲停
2026-09-01,2434,統懋,68.2,60.7,-11.0,21,漲停
2026-09-01,2454,聯發科,4315.0,5010.0,16.11,21,漲停
2026-09-01,2455,全新,524.0,572.0,9.16,21,漲停
2026-09-01,6658,聯策,188.5,173.5,-7.96,21,漲停
2026-09-01,6669,緯穎,7800.0,2150.0,-72.44,21,漲停
2026-09-01,6830,汎銓,572.0,553.0,-3.32,21,漲停
2026-09-01,6933,AMAX-KY,314.5,317.5,0.95,21,漲停
2026-09-01,6515,穎崴,6910.0,5795.0,-16.14,21,漲停
2026-09-01,5292,華懋,241.0,218.0,-9.54,21,漲停
2026-09-02,1595,川寶,73.0,68.5,-6.16,20,漲停
2026-09-02,6620,漢達,95.4,137.5,44.13,20,漲停
2026-09-02,6683,雍智科技,1460.0,1675.0,14.73,20,漲停
2026-09-02,3141,晶宏,99.5,92.8,-6.73,20,漲停
2026-09-02,6535,順藥,82.2,78.2,-4.87,20,漲停
2026-09-02,6538,倉和,248.5,426.5,71.63,20,漲停
2026-09-02,3354,律勝,26.05,30.4,16.7,20,漲停
2026-09-02,2465,麗臺,105.0,92.0,-12.38,20,漲停
2026-09-02,6872,浩宇生醫,15.4,23.2,50.65,20,漲停
2026-09-02,2419,仲琦,27.9,30.65,9.86,20,漲停
2026-09-02,2464,盟立,202.0,192.5,-4.7,20,漲停
2026-09-02,8040,九暘,82.9,83.5,0.72,20,漲停
2026-09-02,3019,亞光,157.5,136.0,-13.65,20,漲停
2026-09-02,3055,蔚華科,142.0,188.0,32.39,20,漲停
2026-09-02,4976,佳凌,41.55,36.75,-11.55,20,漲停
2026-09-02,5285,界霖,89.6,91.7,2.34,20,漲停
2026-09-02,6224,聚鼎,85.0,89.2,4.94,20,漲停
2026-09-02,6272,驊陞,27.65,26.3,-4.88,20,漲停
2026-09-02,6442,光聖,1795.0,1525.0,-15.04,20,漲停
2026-09-02,6451,訊芯-KY,500.0,434.0,-13.2,20,漲停
2026-09-02,8431,匯鑽科,59.8,64.4,7.69,20,漲停
2026-09-03,2221,大甲,91.5,127.5,39.34,19,漲停
2026-09-03,6538,倉和,273.0,426.5,56.23,19,漲停
2026-09-03,4924,欣厚-KY,10.9,15.5,42.2,19,漲停
2026-09-03,3564,其陽,52.9,50.4,-4.73,19,漲停
2026-09-03,2438,翔耀,22.05,20.7,-6.12,19,漲停
2026-09-03,2464,盟立,222.0,192.5,-13.29,19,漲停
2026-09-03,6906,現觀科,83.4,80.0,-4.08,19,漲停
2026-09-03,7772,耀穎,99.5,171.0,71.86,19,漲停
2026-09-03,3021,鴻名,22.1,26.25,18.78,19,漲停
2026-09-04,6290,良維,270.0,281.0,4.07,18,漲停
2026-09-04,6538,倉和,300.0,426.5,42.17,18,漲停
2026-09-04,3624,光頡,93.2,132.5,42.17,18,漲停
2026-09-04,4908,前鼎,224.5,232.0,3.34,18,漲停
2026-09-04,6620,漢達,107.5,137.5,27.91,18,漲停
2026-09-04,6667,信紘科,239.5,259.5,8.35,18,漲停
2026-09-04,4979,華星光,629.0,618.0,-1.75,18,漲停
2026-09-04,3324,雙鴻,1485.0,1520.0,2.36,18,漲停
2026-09-04,3441,聯一光,143.0,177.5,24.13,18,漲停
2026-09-04,7828,創新服務,1930.0,2040.0,5.7,18,漲停
2026-09-04,8042,金山電,110.5,113.5,2.71,18,漲停
2026-09-04,8064,東捷,112.0,138.0,23.21,18,漲停
2026-09-04,2413,環科,45.8,54.0,17.9,18,漲停
2026-09-04,2426,鼎元,104.5,99.8,-4.5,18,漲停
2026-09-04,2327,國巨*,562.0,557.0,-0.89,18,漲停
2026-09-04,7709,榮田,77.3,89.9,16.3,18,漲停
2026-09-04,7751,竑騰,1610.0,1445.0,-10.25,18,漲停
2026-09-04,2478,大毅,125.5,120.0,-4.38,18,漲停
2026-09-04,2492,華新科,298.5,308.5,3.35,18,漲停
