date,open,high,low,close,volume
2025-01-02,85.5,86.8,83.0,83.0,1211021
2025-01-03,83.7,86.4,82.0,83.0,1132577
2025-01-06,83.9,86.0,83.2,84.7,930524
2025-01-07,85.6,86.0,82.0,82.1,834636
2025-01-08,82.1,83.9,81.5,83.5,572327
2025-01-09,82.6,86.1,81.0,81.9,1687586
2025-01-10,82.0,90.0,81.4,86.8,4114630
2025-01-13,86.8,87.0,78.2,78.2,3005946
2025-01-14,77.0,79.0,75.0,75.2,1306131
2025-01-15,75.0,76.9,72.6,73.1,903538
2025-01-16,73.9,77.0,73.6,76.6,756240
2025-01-17,75.2,76.5,72.5,73.1,760029
2025-01-20,74.4,80.3,72.0,79.0,1410395
2025-01-21,79.0,80.8,77.7,79.1,917609
2025-01-22,80.1,80.7,78.6,80.4,620136
2025-02-03,77.6,79.0,74.8,75.8,612216
2025-02-04,75.6,75.9,72.0,74.3,566575
2025-02-05,74.7,76.9,74.7,75.9,325861
2025-02-06,76.9,78.1,76.4,76.9,347004
2025-02-07,77.6,82.4,77.0,81.0,828924
2025-02-10,80.4,80.4,77.7,79.0,420529
2025-02-11,78.7,82.5,78.3,79.9,733834
2025-02-12,80.0,81.8,78.6,80.5,510224
2025-02-13,80.8,87.8,79.3,85.9,1715287
2025-02-14,85.9,87.0,84.0,84.2,1339702
2025-02-17,86.2,86.8,83.5,83.5,849698
2025-02-18,84.5,84.5,81.4,82.7,491340
2025-02-19,82.6,85.2,82.1,82.9,472895
2025-02-20,82.9,85.9,82.5,83.0,655910
2025-02-21,84.0,87.2,82.2,86.0,1223071
2025-02-24,85.0,86.5,84.6,85.9,623290
2025-02-25,86.4,87.4,84.6,84.6,1212465
2025-02-26,85.5,85.9,84.3,84.5,454708
2025-02-27,84.6,87.3,83.2,86.5,893756
2025-03-03,85.4,86.1,80.0,80.9,1378207
2025-03-04,79.8,81.8,77.6,79.7,655150
2025-03-05,80.5,80.8,79.2,80.3,256855
2025-03-06,81.5,82.7,79.8,80.7,360519
2025-03-07,81.3,81.6,79.1,79.4,278064
2025-03-10,80.6,80.6,78.7,79.2,152646
2025-03-11,77.8,80.1,73.9,79.9,405018
2025-03-12,80.0,81.8,79.0,79.5,210616
2025-03-13,81.5,81.5,77.4,77.9,285503
2025-03-14,78.0,79.2,76.8,78.6,223567
2025-03-17,80.2,80.6,79.4,79.9,164560
2025-03-18,79.5,83.4,79.5,80.6,415042
2025-03-19,80.6,83.2,79.5,82.5,586481
2025-03-20,83.2,83.8,81.5,81.5,599911
2025-03-21,82.0,82.7,80.6,81.9,194523
2025-03-24,82.4,82.9,77.2,77.6,688879
2025-03-25,78.4,78.7,77.2,77.2,180212
2025-03-26,77.8,77.8,76.0,76.7,218360
2025-03-27,76.7,76.7,74.9,75.7,138660
2025-03-28,75.2,75.4,71.4,72.3,472789
2025-03-31,69.2,70.3,66.0,66.0,601441
2025-04-01,67.8,69.4,66.6,68.6,269003
2025-04-02,68.8,70.2,68.3,68.9,96274
2025-04-07,62.1,62.1,62.1,62.1,32611
2025-04-08,55.9,57.6,55.9,55.9,398237
2025-04-09,52.5,53.0,50.4,50.4,625700
2025-04-10,53.0,55.4,53.0,55.4,369946
2025-04-11,55.4,56.5,51.4,56.5,402164
2025-04-14,55.3,61.6,55.3,57.4,377509
2025-04-15,59.3,61.5,58.1,60.8,709533
2025-04-16,60.0,61.1,59.0,59.1,290990
2025-04-17,58.5,59.5,57.7,59.1,172454
2025-04-18,59.6,61.7,58.8,60.8,316684
2025-04-21,61.6,65.0,59.7,61.6,652769
2025-04-22,61.7,63.7,60.6,61.6,506238
2025-04-23,64.2,65.1,62.4,64.7,481435
2025-04-24,65.9,68.0,64.7,64.9,561563
2025-04-25,65.6,66.8,65.0,66.1,243182
2025-04-28,66.7,71.0,66.4,70.2,476650
2025-04-29,70.0,70.4,69.1,69.7,188445
2025-04-30,69.7,70.3,67.8,68.0,191601
2025-05-02,69.8,71.1,68.5,68.8,170440
2025-05-05,68.9,68.9,67.0,68.8,252578
2025-05-06,68.6,72.8,67.9,72.8,516141
2025-05-07,72.8,72.8,69.9,70.1,250335
2025-05-08,70.9,71.6,70.3,70.3,78663
2025-05-09,71.9,71.9,69.5,70.1,141705
2025-05-12,71.7,72.0,70.5,72.0,167290
2025-05-13,73.2,73.2,71.5,72.1,127826
2025-05-14,73.0,74.5,72.0,74.5,307568
2025-05-15,74.5,74.6,73.0,73.6,184513
2025-05-16,73.6,77.9,73.0,77.0,436920
2025-05-19,77.0,77.5,76.5,76.7,394385
2025-05-20,77.4,77.5,75.7,76.5,343006
2025-05-21,77.1,77.2,75.2,75.5,379638
2025-05-22,76.3,76.5,73.9,75.3,385233
2025-05-23,75.6,76.8,73.5,73.9,398145
2025-05-26,73.4,76.4,73.2,75.6,337147
2025-05-27,75.9,76.4,73.1,74.0,455471
2025-05-28,75.3,76.3,72.8,73.6,300592
2025-05-29,73.9,76.4,72.8,75.3,512547
2025-06-02,75.6,76.5,72.3,73.8,833508
2025-06-03,74.1,75.4,73.0,73.5,368282
2025-06-04,73.9,75.7,73.9,74.7,437954
2025-06-05,75.0,75.8,72.9,73.4,320320
2025-06-06,73.9,74.5,73.0,74.2,211046
