date,open,high,low,close,volume
2025-04-28,473.5,485.0,471.5,480.5,9981629
2025-04-29,478.0,479.0,471.5,477.0,5041390
2025-04-30,473.0,474.0,463.0,464.0,5199919
2025-05-02,482.0,509.0,481.0,507.0,11737408
2025-05-05,512.0,515.0,496.5,502.0,9025076
2025-05-06,498.0,516.0,495.0,513.0,6653041
2025-05-07,520.0,527.0,511.0,517.0,6511650
2025-05-08,525.0,530.0,515.0,526.0,7660005
2025-05-09,530.0,535.0,523.0,529.0,6473258
2025-05-12,535.0,541.0,533.0,541.0,4399937
2025-05-13,559.0,565.0,551.0,563.0,9410603
2025-05-14,616.0,617.0,602.0,609.0,16172144
2025-05-15,612.0,612.0,598.0,605.0,7344676
2025-05-16,608.0,610.0,601.0,601.0,4857521
2025-05-19,602.0,612.0,595.0,595.0,7709620
2025-05-20,607.0,608.0,597.0,598.0,5411507
2025-05-21,602.0,622.0,601.0,619.0,8692245
2025-05-22,611.0,619.0,609.0,615.0,4685517
2025-05-23,622.0,622.0,601.0,603.0,5401599
2025-05-26,604.0,610.0,596.0,603.0,4810116
2025-05-27,603.0,610.0,601.0,608.0,3520495
2025-05-28,625.0,625.0,609.0,614.0,6350672
2025-05-29,624.0,626.0,619.0,620.0,6905967
2025-06-02,615.0,629.0,608.0,629.0,7056783
2025-06-03,642.0,668.0,640.0,659.0,17581899
2025-06-04,681.0,691.0,674.0,681.0,16978253
2025-06-05,676.0,681.0,668.0,676.0,6306761
2025-06-06,677.0,685.0,666.0,681.0,9740274
2025-06-09,689.0,693.0,679.0,682.0,7697805
2025-06-10,687.0,703.0,686.0,701.0,9496386
2025-06-11,704.0,724.0,702.0,724.0,11657004
2025-06-12,723.0,775.0,718.0,759.0,19353013
2025-06-13,750.0,768.0,745.0,763.0,10336809
2025-06-16,749.0,765.0,746.0,750.0,8336561
2025-06-17,760.0,771.0,750.0,757.0,10232736
2025-06-18,760.0,766.0,722.0,730.0,12308298
2025-06-19,735.0,745.0,733.0,741.0,7915074
2025-06-20,740.0,740.0,713.0,734.0,9294094
2025-06-23,722.0,735.0,722.0,729.0,5449121
2025-06-24,742.0,750.0,733.0,737.0,5895129
2025-06-25,747.0,758.0,739.0,745.0,7176761
2025-06-26,752.0,752.0,725.0,738.0,5830136
2025-06-27,742.0,743.0,731.0,737.0,4019238
2025-06-30,737.0,745.0,732.0,743.0,4109704
2025-07-01,749.0,764.0,744.0,755.0,9577499
2025-07-02,753.0,778.0,753.0,759.0,9705868
2025-07-03,770.0,788.0,768.0,783.0,12939676
2025-07-04,798.0,800.0,775.0,777.0,9125946
2025-07-07,775.0,776.0,755.0,762.0,5566516
2025-07-08,770.0,795.0,761.0,795.0,8284377
2025-07-09,792.0,812.0,787.0,811.0,8679935
2025-07-10,822.0,848.0,820.0,845.0,10875991
