date,open,high,low,close,volume
2023-01-03,34.9,36.75,34.3,36.65,5159447
2023-01-04,37.5,39.2,36.9,37.2,21763091
2023-01-05,37.4,37.8,36.75,36.8,4214543
2023-01-06,36.8,37.0,36.4,36.5,2955142
2023-01-09,37.25,37.3,36.55,36.6,2334976
2023-01-10,37.15,37.6,36.85,37.0,4223991
2023-01-11,37.2,37.8,37.0,37.0,2981435
2023-01-12,37.2,37.35,36.35,36.35,1903910
2023-01-13,36.85,37.0,35.65,35.65,1825785
2023-01-16,35.85,35.95,35.55,35.95,1116412
2023-01-17,36.35,36.4,36.0,36.1,984778
2023-01-30,37.6,38.45,37.35,38.4,9315088
2023-01-31,38.8,38.95,38.15,38.2,8882863
2023-02-01,38.65,38.65,37.8,38.3,4027464
2023-02-02,38.55,38.9,38.15,38.9,7285566
2023-02-03,38.9,39.8,38.3,38.3,11000403
2023-02-06,38.9,41.8,38.75,40.8,44553468
2023-02-07,40.55,43.0,40.45,42.65,51068211
2023-02-08,44.0,46.9,43.45,46.9,64173073
2023-02-09,47.4,50.5,47.0,49.75,105657139
2023-02-10,49.5,49.95,47.85,48.4,42727609
2023-02-13,49.05,49.6,47.2,48.4,31159521
2023-02-14,48.4,49.0,47.05,47.3,21852477
2023-02-15,47.7,49.8,47.65,47.75,46575843
2023-02-16,47.3,48.35,47.2,48.15,21163377
2023-02-17,47.55,50.2,47.5,50.1,28393412
2023-02-20,50.4,50.8,49.15,49.3,27375179
2023-02-21,49.35,52.1,48.8,51.0,38458208
2023-02-22,50.7,54.6,50.1,54.0,57996168
2023-02-23,54.0,55.8,53.3,54.8,42329867
2023-02-24,54.8,56.2,53.5,54.0,26528498
2023-03-01,53.9,54.7,52.8,53.1,12849573
2023-03-02,53.3,58.4,53.3,58.4,37026229
2023-03-03,60.5,61.5,57.6,58.3,62924921
2023-03-06,60.3,64.1,59.7,64.1,20907513
2023-03-07,64.4,66.0,64.2,65.5,64172754
2023-03-08,65.2,70.5,65.0,68.9,54668249
2023-03-09,68.5,69.4,66.6,67.7,25835179
2023-03-10,66.5,67.5,64.5,65.9,20052400
2023-03-13,66.6,70.0,65.7,66.1,51865585
2023-03-14,65.2,69.3,65.0,67.7,51831633
2023-03-15,69.7,70.5,67.3,67.7,32336832
2023-03-16,67.7,69.4,66.4,69.2,36627022
