date,open,high,low,close,volume
2025-09-03,603.0,605.0,580.0,590.0,308907
2025-09-04,597.0,604.0,590.0,591.0,152295
2025-09-05,594.0,611.0,594.0,610.0,179293
2025-09-08,604.0,605.0,584.0,605.0,170846
2025-09-09,605.0,609.0,597.0,607.0,133132
2025-09-10,607.0,607.0,594.0,596.0,162915
2025-09-11,593.0,621.0,593.0,605.0,278652
2025-09-12,604.0,610.0,595.0,599.0,148055
2025-09-15,595.0,602.0,552.0,570.0,772632
2025-09-16,560.0,560.0,544.0,553.0,479352
2025-09-17,552.0,554.0,541.0,543.0,194643
2025-09-18,549.0,549.0,543.0,547.0,124541
2025-09-19,548.0,548.0,533.0,535.0,302213
2025-09-22,531.0,541.0,531.0,533.0,207901
2025-09-23,533.0,544.0,527.0,541.0,265177
2025-09-24,538.0,539.0,524.0,526.0,224734
2025-09-25,526.0,534.0,520.0,520.0,177620
2025-09-26,518.0,518.0,506.0,510.0,224681
2025-09-30,513.0,514.0,508.0,512.0,125312
2025-10-01,513.0,521.0,508.0,512.0,161449
2025-10-02,516.0,517.0,505.0,506.0,245915
2025-10-03,503.0,510.0,481.0,485.5,585823
2025-10-07,499.0,522.0,489.5,519.0,813182
2025-10-08,560.0,560.0,514.0,541.0,1373344
2025-10-09,541.0,554.0,537.0,537.0,655429
2025-10-13,520.0,528.0,515.0,524.0,248056
2025-10-14,533.0,539.0,502.0,503.0,360269
2025-10-15,505.0,506.0,498.0,503.0,218485
2025-10-16,503.0,513.0,503.0,509.0,123522
2025-10-17,509.0,509.0,502.0,505.0,152873
2025-10-20,502.0,510.0,497.0,502.0,206759
2025-10-21,505.0,523.0,505.0,514.0,289043
2025-10-22,515.0,525.0,504.0,509.0,192691
2025-10-23,509.0,509.0,499.5,501.0,148341
2025-10-27,506.0,508.0,500.0,500.0,143555
2025-10-28,503.0,503.0,485.5,487.0,419212
2025-10-29,488.5,498.5,485.0,489.5,154914
2025-10-30,490.5,491.5,482.5,482.5,184146
2025-10-31,488.0,488.5,481.0,482.5,137313
2025-11-03,482.5,482.5,472.0,473.5,278801
2025-11-04,477.5,477.5,468.0,468.0,200893
2025-11-05,462.5,464.5,453.0,461.0,261750
2025-11-06,478.5,494.0,476.0,492.0,493840
2025-11-07,488.0,496.0,484.0,487.0,238167
2025-11-10,485.5,486.0,462.5,463.0,289288
2025-11-11,467.5,477.5,444.0,444.0,350101
2025-11-12,444.0,451.0,442.0,446.5,149668
2025-11-13,444.0,458.5,444.0,455.0,129874
2025-11-14,449.5,464.5,446.0,459.0,150540
2025-11-17,465.0,467.0,448.5,448.5,174600
2025-11-18,443.0,453.0,428.0,434.0,247824
2025-11-19,434.0,434.0,421.0,421.0,233218
2025-11-20,434.0,443.0,422.0,425.0,279623
2025-11-21,423.5,423.5,398.0,403.5,353877
2025-11-24,411.0,418.0,404.0,404.0,767178
2025-11-25,408.5,417.0,404.0,407.0,259219
2025-11-26,410.0,438.0,410.0,430.0,532460
2025-11-27,430.5,449.0,430.5,438.0,375898
2025-11-28,438.0,452.5,435.0,445.0,252916
2025-12-01,445.0,445.0,439.5,441.0,115923
2025-12-02,449.5,463.0,445.0,455.0,348653
2025-12-03,459.0,463.5,450.5,450.5,179334
2025-12-04,454.0,458.5,447.0,458.0,167043
2025-12-05,454.5,458.0,450.0,455.0,70435
2025-12-08,451.0,455.0,441.0,442.5,221015
2025-12-09,443.5,446.0,427.0,427.0,183542
2025-12-10,425.0,439.0,425.0,426.0,178049
2025-12-11,431.5,433.0,420.5,430.0,220863
2025-12-12,430.0,433.0,422.5,423.0,117531
2025-12-15,422.0,429.0,415.0,423.5,127496
2025-12-16,419.5,422.0,404.5,414.5,233296
2025-12-17,415.5,420.0,414.0,415.5,97100
2025-12-18,410.0,420.5,408.5,411.0,97232
2025-12-19,422.0,449.0,420.0,447.5,1044706
2025-12-22,456.5,459.0,443.5,453.0,395640
2025-12-23,452.5,454.0,442.0,447.5,228811
2025-12-24,450.0,450.0,437.0,437.5,196490
2025-12-26,434.5,434.5,420.0,420.0,219895
2025-12-29,428.0,432.0,421.5,432.0,178996
2025-12-30,434.0,434.0,421.0,423.5,77146
2025-12-31,423.5,433.0,421.0,427.0,111261
2026-01-02,428.0,452.0,428.0,440.0,251134
2026-01-05,445.0,478.0,440.5,475.0,637450
2026-01-06,474.0,476.5,459.0,462.0,347512
2026-01-07,462.0,487.0,459.0,471.5,538898
2026-01-08,461.0,467.5,455.0,455.0,332146
2026-01-09,459.0,465.5,454.5,455.0,129509
2026-01-12,459.0,462.0,444.0,444.0,251170
2026-01-13,450.0,450.0,435.0,435.5,191957
2026-01-14,439.0,442.5,435.0,435.5,100438
2026-01-15,436.0,437.0,427.5,437.0,102862
2026-01-16,431.5,441.5,431.5,437.5,87657
2026-01-19,440.0,440.0,427.5,430.0,153313
2026-01-20,430.0,436.0,427.0,428.5,103197
2026-01-21,427.0,431.0,419.0,419.0,182876
2026-01-22,424.0,428.5,421.5,422.0,89070
2026-01-23,428.5,446.5,428.5,444.0,356449
2026-01-26,448.0,457.0,418.0,420.5,635415
2026-01-27,423.0,426.0,415.0,420.5,227309
2026-01-28,423.5,429.5,420.0,425.0,137278
2026-01-29,425.0,425.5,415.0,418.0,166251
2026-01-30,419.0,419.0,401.5,401.5,300265
2026-02-02,398.0,412.5,397.0,408.0,130603
2026-02-03,410.5,437.0,410.5,421.0,235988
2026-02-04,421.0,423.5,407.5,410.0,182984
2026-02-05,409.5,419.5,404.0,405.5,122902
2026-02-06,405.0,409.0,391.0,399.0,169083
2026-02-09,411.0,430.0,411.0,423.5,379737
2026-02-10,424.5,444.5,424.5,437.5,344478
2026-02-11,437.5,437.5,422.0,422.5,158366
2026-02-23,424.5,439.5,422.0,428.0,218233
2026-02-24,430.0,433.0,420.5,424.0,169311
2026-02-25,426.5,431.0,422.0,423.5,150627
2026-02-26,426.5,457.5,425.0,457.0,625566
2026-03-02,445.5,454.5,442.0,445.0,329765
2026-03-03,447.5,452.0,431.5,431.5,269555
2026-03-04,431.5,431.5,400.0,400.5,329125
2026-03-05,409.5,420.0,408.5,410.0,116636
2026-03-06,408.5,409.0,401.5,402.5,112508
2026-03-09,391.0,392.5,375.5,384.0,344265
2026-03-10,397.5,406.0,391.5,404.5,143723
2026-03-11,405.5,414.5,405.5,408.5,162537
2026-03-12,402.0,406.0,395.5,399.0,110073
2026-03-13,399.5,399.5,390.5,390.5,139473
2026-03-16,390.5,393.0,377.5,385.0,171313
2026-03-17,397.5,409.5,392.5,395.5,189624
2026-03-18,418.0,435.0,412.0,435.0,315693
2026-03-19,442.0,458.5,428.0,428.0,1120802
2026-03-20,428.5,441.5,417.0,422.5,232143
2026-03-23,405.5,408.5,397.0,399.0,225783
2026-03-24,405.5,407.5,387.0,389.0,227214
2026-03-25,394.0,398.0,392.0,395.5,89528
2026-03-26,398.0,399.0,391.0,391.0,114999
2026-03-27,387.0,396.5,384.0,396.5,88177
2026-03-30,391.0,391.5,380.0,380.0,206974
2026-03-31,380.5,380.5,355.5,355.5,392520
2026-04-01,368.0,371.0,360.0,360.0,123654
2026-04-02,365.5,365.5,353.5,355.0,148089
2026-04-07,358.5,358.5,347.5,349.0,151874
2026-04-08,370.0,373.0,362.0,364.5,240278
2026-04-09,375.0,375.0,355.0,355.0,265262
2026-04-10,361.0,370.5,356.5,364.5,194488
2026-04-13,358.5,376.5,357.5,374.5,195913
2026-04-14,381.5,402.0,381.0,398.5,401239
2026-04-15,406.0,408.0,399.0,404.5,285337
2026-04-16,409.5,416.5,404.0,412.0,270101
2026-04-17,416.0,419.0,404.0,411.5,183257
2026-04-20,418.5,422.0,412.0,416.0,239561
2026-04-21,424.0,444.5,421.0,432.0,399958
2026-04-22,440.0,451.0,436.0,445.0,423179
2026-04-23,455.0,455.0,410.0,415.0,499378
2026-04-24,422.5,444.5,422.5,432.5,492944
2026-04-27,446.0,447.5,422.0,425.5,351148
2026-04-28,428.0,431.5,421.0,421.0,196933
2026-04-29,424.0,427.0,412.5,413.5,189629
2026-04-30,415.0,434.0,412.5,426.0,260017
2026-05-04,468.5,468.5,468.5,468.5,337545
2026-05-05,508.0,515.0,507.0,515.0,1087527
2026-05-06,547.0,555.0,505.0,515.0,3446879
2026-05-07,518.0,518.0,491.0,505.0,992851
2026-05-08,514.0,555.0,509.0,514.0,2687587
2026-05-11,530.0,560.0,518.0,535.0,2367312
2026-05-12,530.0,530.0,507.0,508.0,1416907
2026-05-13,500.0,500.0,475.0,488.0,947842
2026-05-14,495.0,505.0,483.0,500.0,690452
2026-05-15,520.0,525.0,488.0,488.0,932729
2026-05-18,480.0,512.0,470.5,511.0,675365
2026-05-19,520.0,520.0,478.5,482.0,675552
2026-05-20,483.0,488.0,475.5,475.5,365965
2026-05-21,487.0,514.0,487.0,512.0,752946
2026-05-22,520.0,550.0,506.0,544.0,1542075
2026-05-25,556.0,558.0,532.0,535.0,1426211
2026-05-26,535.0,540.0,516.0,519.0,724607
2026-05-27,525.0,532.0,498.0,499.5,928369
2026-05-28,502.0,515.0,486.0,488.0,687146
2026-05-29,497.0,498.5,485.5,495.5,397331
2026-06-01,510.0,533.0,494.0,499.0,867032
2026-06-02,507.0,509.0,485.5,491.0,461997
2026-06-03,498.5,498.5,478.0,482.0,500814
2026-06-04,481.5,503.0,467.0,484.0,561512
2026-06-05,478.5,478.5,460.0,465.0,470103
2026-06-08,428.0,444.0,425.0,443.5,395168
2026-06-09,447.5,487.5,447.0,487.5,453520
2026-06-10,489.0,536.0,489.0,523.0,2894888
2026-06-11,524.0,545.0,501.0,508.0,1631192
2026-06-12,523.0,527.0,504.0,505.0,397527
2026-06-15,511.0,521.0,497.5,498.5,515006
2026-06-16,505.0,505.0,486.0,486.5,434929
2026-06-17,488.0,489.0,481.0,485.5,226426
2026-06-18,492.0,505.0,484.5,484.5,402207
2026-06-22,495.5,495.5,476.0,478.5,477234
2026-06-23,483.0,486.0,470.5,477.0,240381
2026-06-24,479.5,479.5,463.5,470.5,265139
2026-06-25,474.5,478.0,463.0,463.0,221856
2026-06-26,463.0,463.0,417.0,417.0,797360
2026-06-29,417.5,424.0,412.0,414.0,254840
2026-06-30,426.0,427.5,419.5,423.0,238247
2026-07-01,427.0,432.0,423.5,427.0,160868
2026-07-02,425.0,450.0,418.0,439.0,207055
2026-07-03,435.5,437.0,428.0,432.5,139866
2026-07-06,436.5,436.5,421.0,427.0,200364
2026-07-07,429.0,429.0,406.0,407.0,237544
2026-07-08,410.0,413.5,400.5,410.0,170415
2026-07-09,410.5,412.0,403.5,404.0,103783
2026-07-13,407.5,407.5,390.0,393.0,210661
2026-07-14,408.0,408.0,380.0,393.0,334403
2026-07-15,400.0,405.0,394.0,401.0,128849
2026-07-16,391.0,393.5,385.5,387.0,74724
2026-07-17,372.0,380.0,358.0,358.5,255400
2026-07-20,366.0,370.5,348.0,353.0,185868
2026-07-21,354.0,366.5,354.0,362.5,111623
2026-07-22,374.0,374.0,365.0,368.0,131562
2026-07-23,368.0,368.0,359.0,361.0,98761
2026-07-24,357.0,362.0,354.0,355.5,90216
2026-07-27,355.0,357.5,348.5,357.5,90627
2026-07-28,354.0,354.0,333.0,333.0,212695
2026-07-29,334.5,334.5,300.0,311.5,474641
2026-07-30,312.0,316.0,302.0,305.0,230486
2026-07-31,325.0,325.0,313.5,320.0,164929
2026-08-03,319.0,342.0,318.5,338.0,152502
2026-08-04,329.0,340.5,329.0,339.0,106545
2026-08-05,346.0,353.5,346.0,348.0,122346
2026-08-06,345.5,349.0,342.0,347.5,56844
2026-08-07,349.0,351.5,342.0,344.0,83155
2026-08-10,361.0,361.0,353.5,355.5,100510
2026-08-11,350.0,363.0,350.0,359.5,76270
2026-08-12,358.5,370.0,358.5,359.5,97109
2026-08-13,360.5,365.5,360.0,362.0,72749
2026-08-14,370.0,370.0,347.5,348.5,170063
2026-08-17,352.5,352.5,343.5,344.0,56659
2026-08-18,343.5,344.5,324.0,327.0,178208
2026-08-19,320.5,334.0,320.0,325.5,140266
2026-08-20,339.0,339.0,330.0,336.5,81436
2026-08-21,336.5,358.5,335.5,347.5,161432
2026-08-24,367.5,382.0,367.5,382.0,200415
2026-08-25,385.0,388.0,372.5,382.0,329971
2026-08-26,387.0,387.0,375.5,376.5,164601
2026-08-27,376.5,380.0,371.5,373.0,167382
2026-08-28,375.0,378.5,371.5,372.0,107553
2026-08-31,371.0,371.0,358.5,362.0,927022
2026-09-01,380.0,386.0,369.0,371.0,356452
2026-09-02,372.0,380.5,369.0,370.0,231908
2026-09-03,371.0,374.0,363.5,363.5,122766
