date,open,high,low,close,volume
2023-01-03,29.3,29.35,29.0,29.2,7761128
2023-01-04,29.2,29.4,29.15,29.4,6796635
2023-01-05,29.45,29.6,29.3,29.5,6791486
2023-01-06,29.5,29.5,29.25,29.3,5420738
2023-01-09,29.7,30.0,29.65,30.0,12511862
2023-01-10,30.15,30.3,30.0,30.15,12902233
2023-01-11,30.15,30.3,30.1,30.3,11587907
2023-01-12,30.3,30.3,30.0,30.1,6654932
2023-01-13,30.15,30.3,30.1,30.2,6595757
2023-01-16,30.2,30.3,29.95,30.1,5742046
2023-01-17,30.1,30.2,30.05,30.2,7010484
2023-01-30,30.6,31.2,30.55,31.2,32325287
2023-01-31,31.2,31.5,31.05,31.5,30132052
2023-02-01,31.5,31.55,31.25,31.4,9314489
2023-02-02,31.5,31.8,31.4,31.8,16393692
2023-02-03,31.9,31.95,31.65,31.95,10616710
2023-02-06,31.75,31.95,31.65,31.95,8117982
2023-02-07,31.95,31.95,31.8,31.95,6611670
2023-02-08,31.95,31.95,31.85,31.9,6648270
2023-02-09,31.5,31.8,31.3,31.8,11778733
2023-02-10,31.75,31.75,31.15,31.2,9130688
2023-02-13,31.2,31.8,31.2,31.7,12692501
2023-02-14,31.85,31.9,31.7,31.75,9832664
2023-02-15,31.8,31.8,31.5,31.8,7977005
2023-02-16,31.8,31.85,31.5,31.5,7687042
2023-02-17,31.5,31.65,31.5,31.65,8970119
2023-02-20,31.7,31.8,31.6,31.7,3946941
2023-02-21,31.7,31.8,31.55,31.75,4548280
2023-02-22,31.55,31.8,31.5,31.75,6517437
2023-02-23,31.75,32.3,31.75,32.2,18860700
2023-02-24,32.3,33.25,32.3,33.15,35587557
2023-03-01,32.3,32.75,31.9,32.55,20435021
2023-03-02,32.5,32.5,32.05,32.35,8100637
2023-03-03,32.5,32.7,32.4,32.65,5277439
2023-03-06,32.7,32.9,32.55,32.85,6306316
2023-03-07,32.9,33.2,32.85,33.15,11520662
2023-03-08,33.15,33.9,33.05,33.8,25039908
2023-03-09,33.8,34.0,33.5,33.95,19763552
2023-03-10,33.55,33.7,33.3,33.6,12132618
2023-03-13,33.4,33.65,32.75,33.65,14991729
2023-03-14,33.6,33.85,33.35,33.55,12615109
2023-03-15,34.0,34.85,33.95,34.5,32787602
2023-03-16,34.6,34.75,34.3,34.55,16857153
