date,open,high,low,close,volume
2024-12-23,65.5,65.5,63.9,64.0,2615864
2024-12-24,64.3,64.6,62.4,62.6,3333913
2024-12-25,62.6,62.9,61.5,61.7,4388244
2024-12-26,61.7,62.5,61.7,61.9,1888860
2024-12-27,62.3,62.3,61.5,61.5,1506263
2024-12-30,61.5,61.5,60.8,60.8,1572046
2024-12-31,60.8,61.6,60.4,61.2,1402069
2025-01-02,61.3,61.9,60.7,60.7,1459140
2025-01-03,61.0,61.2,60.4,60.5,1337154
2025-01-06,60.7,61.5,60.7,61.0,1097932
2025-01-07,61.8,61.8,61.1,61.1,1063405
2025-01-08,60.9,61.5,60.7,61.3,1459434
2025-01-09,61.6,62.0,58.7,58.7,3913979
2025-01-10,58.6,59.0,58.0,58.2,2131319
2025-01-13,57.6,57.7,55.0,55.8,3474526
2025-01-14,56.0,57.3,55.9,57.3,1336641
2025-01-15,57.6,57.8,56.0,56.3,1317282
2025-01-16,57.3,57.7,56.8,56.8,1417926
2025-01-17,57.6,57.6,56.2,56.2,1624478
2025-01-20,56.0,56.9,55.7,56.3,1964577
2025-01-21,56.8,57.4,56.2,56.2,1700481
2025-01-22,56.7,57.7,56.0,57.3,2694762
2025-02-03,56.2,56.7,55.0,56.0,2739611
2025-02-04,56.5,56.9,55.6,56.3,1340533
2025-02-05,56.8,57.9,56.6,57.7,1573095
2025-02-06,58.0,59.0,58.0,58.7,1412443
2025-02-07,59.2,60.3,58.5,60.0,2164482
2025-02-10,62.0,63.0,60.5,60.8,8813097
2025-02-11,61.0,61.7,60.8,61.1,3129444
2025-02-12,61.3,62.5,61.0,61.4,2794244
2025-02-13,61.8,62.0,61.4,61.7,1449993
2025-02-14,62.3,64.5,61.6,62.5,5495216
2025-02-17,63.5,63.9,62.9,63.0,3068866
2025-02-18,63.1,64.3,62.9,63.9,2766970
2025-02-19,64.2,64.8,63.2,63.4,3233855
2025-02-20,63.7,64.0,62.2,62.3,2334112
2025-02-21,62.1,63.3,62.0,62.8,2034391
2025-02-24,62.4,63.4,62.0,63.4,1266929
2025-02-25,62.9,63.1,62.3,62.5,1767224
2025-02-26,62.5,62.7,62.0,62.1,1156247
2025-02-27,61.9,62.4,60.4,60.6,3345060
2025-03-03,60.0,60.3,59.0,59.1,1694886
2025-03-04,58.5,59.7,57.7,59.7,1267110
2025-03-05,59.7,60.5,59.2,60.4,988367
2025-03-06,60.5,60.8,59.7,60.4,970124
2025-03-07,59.7,60.5,59.0,59.0,1563230
2025-03-10,58.5,58.6,56.9,57.0,3303513
2025-03-11,56.0,56.2,54.5,55.9,2557167
2025-03-12,56.0,56.5,55.5,55.6,1271227
2025-03-13,56.0,56.6,55.0,55.0,1388990
2025-03-14,54.8,55.4,54.5,55.1,1565097
2025-03-17,55.5,56.0,55.3,55.3,968599
2025-03-18,55.8,56.2,55.2,55.4,1612968
2025-03-19,55.4,55.6,53.8,53.8,2340557
2025-03-20,54.1,54.5,53.7,54.2,1324242
2025-03-21,54.2,54.2,53.7,53.8,843768
2025-03-24,54.0,54.0,52.2,52.2,2129796
2025-03-25,52.8,52.9,51.3,51.4,2371867
2025-03-26,51.9,52.5,51.9,52.1,917783
2025-03-27,51.6,51.6,50.4,50.6,2388839
2025-03-28,49.9,50.2,48.65,49.4,3133438
2025-03-31,47.0,47.6,45.2,45.2,5370579
2025-04-01,46.1,46.7,45.8,46.35,2218782
2025-04-02,46.55,47.9,45.65,47.9,1912755
2025-04-07,43.15,43.15,43.15,43.15,339782
2025-04-08,38.85,38.85,38.85,38.85,1646698
2025-04-09,35.0,36.0,35.0,35.0,4900050
2025-04-10,38.2,38.5,38.1,38.5,2915299
2025-04-11,35.35,39.6,35.35,39.5,4945725
2025-04-14,40.2,42.15,39.75,40.2,3470492
2025-04-15,40.65,42.0,39.85,41.7,3294245
2025-04-16,41.4,41.95,40.5,40.5,1690797
2025-04-17,40.35,40.35,39.35,39.9,2027387
2025-04-18,40.0,40.5,39.4,39.5,1533203
2025-04-21,39.5,39.7,38.0,38.0,1831897
2025-04-22,37.15,38.85,37.15,37.9,1481424
2025-04-23,38.9,39.8,38.9,39.75,1551869
2025-04-24,40.1,40.4,39.35,39.5,1180059
2025-04-25,40.2,41.1,39.95,40.35,1350619
