date,open,high,low,close,volume
2023-01-03,48.0,53.1,47.15,52.4,25523058
2023-01-04,53.1,57.6,52.9,57.6,34258125
2023-01-05,59.5,59.5,56.5,56.9,66173040
2023-01-06,56.6,56.8,51.9,52.1,31921026
2023-01-09,52.2,53.2,51.3,52.4,12761686
2023-01-10,52.3,52.8,51.5,52.4,9095112
2023-01-11,52.6,53.4,51.5,52.2,10252297
2023-01-12,52.0,52.4,50.7,51.0,4670317
2023-01-13,51.3,51.6,50.2,50.2,3550471
2023-01-16,50.1,51.2,49.45,50.7,4478567
2023-01-17,50.7,52.7,50.5,52.3,9476896
2023-01-30,53.1,55.3,52.4,54.4,11253617
2023-01-31,54.0,57.2,54.0,56.5,17189310
2023-02-01,56.5,58.4,55.6,56.4,11885193
2023-02-02,56.4,58.2,55.4,56.0,10066755
2023-02-03,55.1,55.3,53.8,54.5,5704547
2023-02-06,54.5,55.0,54.1,54.9,2514831
2023-02-07,55.3,55.8,54.6,55.1,2794320
2023-02-08,55.3,56.0,54.7,54.7,3618063
2023-02-09,54.6,56.6,54.6,55.5,8074795
2023-02-10,54.6,56.3,54.5,54.5,5764621
2023-02-13,53.3,53.5,51.7,53.1,6639577
2023-02-14,53.1,53.7,52.4,53.5,3638114
2023-02-15,53.5,57.4,53.5,55.5,20161542
2023-02-16,56.3,57.6,55.6,56.0,11371010
2023-02-17,55.3,58.0,55.1,57.8,14618571
2023-02-20,58.5,61.5,57.5,58.7,26378382
2023-02-21,59.1,64.5,59.1,64.5,36659162
2023-02-22,65.0,66.7,63.0,64.8,58671420
2023-02-23,64.5,64.7,63.3,64.3,14075074
2023-02-24,64.7,65.6,62.2,63.0,10803815
2023-03-01,62.6,64.2,61.5,63.5,7073472
2023-03-02,63.5,64.5,62.7,63.0,4931515
2023-03-03,64.2,65.0,62.4,63.0,7409254
2023-03-06,63.6,66.5,63.4,65.6,13136836
2023-03-07,66.5,71.8,66.5,68.9,28067180
2023-03-08,68.8,74.7,68.4,72.7,31644665
2023-03-09,73.1,75.9,71.3,75.5,30615513
2023-03-10,74.2,74.5,69.0,70.0,20033670
2023-03-13,68.6,69.2,66.1,67.0,12062562
2023-03-14,67.3,68.6,66.5,66.8,9604613
2023-03-15,68.1,69.0,66.9,67.4,7722118
2023-03-16,68.0,68.7,65.5,66.2,10108351
2023-03-17,67.1,67.4,65.6,66.7,5786096
2023-03-20,67.6,72.0,67.0,72.0,17489700
2023-03-21,71.9,73.5,71.0,71.2,20115384
2023-03-22,72.6,72.9,70.1,70.3,8689944
2023-03-23,70.0,71.6,69.2,71.1,6095857
2023-03-24,71.5,71.9,70.4,71.6,5909815
2023-03-27,71.6,72.5,69.0,69.2,7100890
2023-03-28,69.3,69.7,67.6,69.0,5957416
2023-03-29,69.8,69.9,68.8,69.5,3253245
2023-03-30,70.3,70.5,69.0,70.1,3070596
2023-03-31,70.1,70.2,68.7,69.3,3449518
2023-04-06,69.6,74.7,68.2,73.4,14561191
2023-04-07,74.5,80.6,74.5,78.9,38445121
2023-04-10,81.0,83.3,79.9,80.0,21354651
2023-04-11,83.0,88.0,82.8,88.0,21270652
2023-04-12,95.0,96.8,94.5,96.8,8659121
2023-04-13,97.1,102.0,94.0,95.0,40665407
2023-04-14,97.7,100.0,93.1,94.7,20291570
2023-04-17,94.9,100.5,94.8,97.1,28417851
2023-04-18,97.2,103.5,97.2,97.9,30157414
2023-04-19,99.1,101.5,96.8,99.0,18633193
2023-04-20,99.5,101.5,97.0,97.1,16487947
2023-04-21,97.7,99.0,93.4,95.4,14955212
2023-04-24,96.1,100.5,95.0,98.8,22394874
2023-04-25,99.0,99.5,90.4,93.7,25146069
2023-04-26,93.8,94.4,90.9,92.3,13783852
2023-04-27,92.3,92.8,88.8,92.6,12275854
2023-04-28,94.8,95.8,93.5,94.9,9876267
2023-05-02,95.8,104.0,95.7,103.5,33384933
2023-05-03,100.5,101.5,97.3,97.4,25885399
2023-05-04,97.5,99.6,96.8,99.3,13884798
2023-05-05,99.3,100.5,96.5,99.1,13829183
2023-05-08,100.5,109.0,100.5,109.0,30759495
2023-05-09,110.0,113.5,102.0,103.0,63953250
2023-05-10,102.5,103.5,98.1,98.9,19057206
2023-05-11,100.0,100.5,94.7,95.4,17714514
2023-05-12,96.1,104.0,95.8,101.5,30391575
2023-05-15,100.0,108.5,99.9,105.0,30792451
2023-05-16,107.0,109.5,102.5,109.5,47489963
2023-05-17,109.5,110.5,107.0,107.0,19313543
2023-05-18,111.0,117.5,109.0,117.5,36682122
2023-05-19,120.0,127.5,117.5,123.5,60938401
2023-05-22,123.0,132.0,121.5,128.5,34841913
2023-05-23,132.0,138.0,126.0,137.0,42031183
2023-05-24,135.5,139.5,134.0,139.0,28413123
2023-05-25,139.0,144.5,137.0,141.0,24496114
2023-05-26,141.0,143.0,134.0,135.5,19534455
2023-05-29,137.0,146.5,136.5,141.0,28462565
2023-05-30,141.0,143.0,137.0,141.0,16570084
2023-05-31,142.5,145.5,139.5,145.0,25492173
2023-06-01,146.0,148.5,143.5,144.0,15564461
2023-06-02,145.0,158.0,145.0,158.0,23945555
2023-06-05,163.0,167.5,155.5,156.0,53805609
2023-06-06,155.5,157.5,151.0,153.0,16296395
2023-06-07,154.0,158.0,151.0,155.0,16863189
2023-06-08,154.5,157.5,150.0,151.5,11362008
2023-06-09,152.5,154.5,149.0,153.5,9680350
2023-06-12,149.0,151.5,142.0,147.5,16964915
2023-06-13,149.5,150.5,145.0,146.5,9475074
2023-06-14,148.5,152.0,145.5,146.0,9663781
2023-06-15,146.0,158.5,145.0,157.0,22204293
2023-06-16,160.0,172.0,159.5,165.5,41892415
2023-06-19,167.0,170.0,160.0,161.0,22473062
2023-06-20,162.5,165.5,159.5,162.0,13537038
2023-06-21,163.5,166.0,161.5,163.5,10029427
2023-06-26,164.5,166.5,161.5,162.5,8719544
2023-06-27,164.0,168.0,153.0,154.0,16875079
2023-06-28,157.0,158.0,150.5,150.5,8780986
2023-06-29,152.0,154.5,150.5,153.5,5640222
2023-06-30,152.5,152.5,146.5,147.5,3520001
2023-07-03,149.0,149.0,146.0,149.0,2249374
2023-07-04,150.0,150.5,148.0,149.0,1523385
2023-07-05,150.0,150.0,146.0,146.0,1541632
2023-07-06,145.0,151.0,145.0,149.5,1442715
2023-07-07,150.5,150.5,148.0,149.5,1117085
2023-07-10,154.0,160.5,153.5,160.5,5153184
2023-07-11,166.5,167.0,163.0,166.0,5922561
2023-07-12,170.0,182.5,168.0,179.5,8777712
2023-07-13,183.0,183.0,172.0,182.0,5837979
2023-07-14,189.5,200.0,188.5,200.0,9174754
2023-07-17,205.0,220.0,201.0,217.5,26211326
2023-07-18,218.5,218.5,205.0,205.0,3377603
2023-07-19,200.0,200.0,192.0,194.5,2496739
2023-07-20,193.0,207.0,193.0,207.0,1566049
2023-07-21,205.0,217.0,204.0,216.0,1553202
2023-07-24,215.0,215.0,200.0,202.5,877375
2023-07-25,207.0,207.0,198.0,206.0,994796
2023-07-26,206.5,214.0,206.5,212.0,1078587
2023-07-27,212.0,229.5,210.0,225.0,1482028
2023-07-28,225.0,230.0,221.0,229.0,952638
2023-07-31,235.0,239.0,229.0,239.0,1394202
2023-08-01,248.0,249.0,215.5,215.5,19744017
2023-08-02,217.0,221.0,201.0,204.5,11123979
2023-08-04,203.5,219.5,197.0,213.0,7569834
2023-08-07,215.0,226.0,205.5,210.0,8753745
2023-08-08,209.0,223.5,202.0,215.0,9294167
2023-08-09,212.5,232.5,212.5,224.0,13604259
2023-08-10,223.0,229.0,203.5,208.5,15155992
2023-08-11,214.5,218.0,204.0,211.5,9424909
2023-08-14,207.5,212.0,190.5,192.5,8414158
2023-08-15,196.0,211.5,194.0,211.5,8152889
2023-08-16,215.0,221.0,208.0,220.5,15291454
2023-08-17,216.0,240.0,216.0,236.0,13762923
2023-08-18,241.0,247.5,220.5,229.0,16961577
2023-08-21,237.0,251.5,234.0,251.5,19596436
2023-08-22,262.0,276.5,256.0,276.5,20848562
2023-08-23,278.5,291.0,265.5,276.5,26192919
2023-08-24,285.0,301.5,277.5,280.5,20025047
2023-08-25,282.5,293.5,279.5,286.5,12913508
2023-08-28,289.5,291.5,268.0,275.0,11521605
2023-08-29,284.0,293.5,278.5,289.0,13715047
2023-08-30,292.0,296.0,285.5,293.0,10202161
2023-08-31,293.0,300.0,289.5,299.5,7505077
2023-09-01,310.0,324.0,290.0,292.5,17981005
2023-09-04,295.0,311.0,294.5,300.0,14590724
2023-09-05,296.0,299.5,285.0,289.0,8628754
2023-09-06,292.5,295.5,286.0,290.0,5341375
2023-09-07,286.0,292.5,286.0,290.5,3908124
2023-09-08,291.0,298.0,287.5,293.0,5812300
2023-09-11,295.0,298.0,276.5,277.5,5939051
2023-09-12,272.0,285.5,266.0,283.0,8369662
2023-09-13,281.0,281.5,264.5,266.0,9033791
2023-09-14,270.0,271.0,253.0,258.0,12408115
2023-09-15,262.0,263.5,254.5,257.5,9620615
2023-09-18,255.0,258.5,245.5,246.5,6733394
