Code,Name,Close,Volume,Daily_Amount_B,Daily_Chg%,Vol_Increase,Sector,Industry,RVOL,Weekly_Chg%,Monthly_Chg%
0050.TW,元大台灣50,69.85,122267721.0,85.54349889,-0.7812500000000002,False,一般,一般,0,0,0
0051.TW,元大中型100,96.2,109163.0,0.10478491,1.6913319238900635,False,一般,一般,0,0,0
0052.TW,富邦科技,40.77,72284388.0,29.52406582,-0.8029197080291971,False,一般,一般,0,0,0
0053.TW,元大電子,150.85,26398.0,0.03975456,-0.09933774834437085,False,一般,一般,0,0,0
0055.TW,元大MSCI金融,31.85,138728.0,0.04428119,-0.8097165991902834,False,一般,一般,0,0,0
0056.TW,元大高股息,37.62,84166000.0,31.61974457,0.966183574879227,True,一般,一般,0,0,0
0057.TW,富邦摩台,203.75,6633.0,0.01353097,-0.6339917093391856,False,一般,一般,0,0,0
0061.TW,元大寶滬深,23.92,436929.0,0.10474137,0.29350104821802936,False,一般,一般,0,0,0
006203.TW,元大MSCI台灣,125.9,5917.0,0.00744325,-0.7097791798107255,False,一般,一般,0,0,0
006204.TW,永豐臺灣加權,154.65,3961.0,0.00611622,0.3569110966904608,False,一般,一般,0,0,0
006205.TW,富邦上証,40.94,359658.0,0.14776802,0.0,False,一般,一般,0,0,0
006206.TW,元大上證50,38.7,201120.0,0.07789559,0.20714655618850336,False,一般,一般,0,0,0
006207.TW,復華滬深,31.66,179419.0,0.05705217,-0.18915510718789408,False,一般,一般,0,0,0
006208.TW,富邦台50,159.0,8476919.0,13.51318634,-0.9345794392523363,False,一般,一般,0,0,0
00625K.TW,富邦上証+R,0.0,0.0,0.0,0.0,False,一般,一般,0,0,0
00631L.TW,元大台灣50正2,401.7,2988714.0,12.01646728,-0.6430868167202572,False,一般,一般,0,0,0
00632R.TW,元大台灣50反1,15.6,33805268.0,5.27501659,0.1926782273603083,False,一般,一般,0,0,0
00633L.TW,富邦上証正2,51.85,4404556.0,2.3041769,-0.8604206500956023,False,一般,一般,0,0,0
00634R.TW,富邦上証反1,3.15,69200.0,0.00216994,0.0,False,一般,一般,0,0,0
00635U.TW,期元大S&P黃金,47.77,6252422.0,2.99016136,-0.1254442818314865,True,一般,一般,0,0,0
00636.TW,國泰中國A50,27.63,778607.0,0.21608123,-0.3606202668589975,False,一般,一般,0,0,0
00636K.TW,國泰中國A50+U,8.86,200.0,1.772e-05,0.11299435028248588,False,一般,一般,0,0,0
00637L.TW,元大滬深300正2,21.34,35754628.0,7.68546594,-0.6517690875232774,False,一般,一般,0,0,0
00638R.TW,元大滬深300反1,6.73,35095.0,0.00235053,0.5979073243647235,False,一般,一般,0,0,0
00639.TW,富邦深100,15.54,761894.0,0.11901129,-0.5758157389635317,False,一般,一般,0,0,0
00640L.TW,富邦日本正2,82.15,192493.0,0.15834987,-1.0836845273931366,False,一般,一般,0,0,0
00641R.TW,富邦日本反1,4.42,2144510.0,0.09493137,0.22675736961451248,False,一般,一般,0,0,0
00642U.TW,期元大S&P石油,14.81,19280140.0,2.86048345,-2.8215223097112863,True,一般,一般,0,0,0
00643.TW,群益深証中小,17.75,3224711.0,0.57612467,-0.22484541877459246,False,一般,一般,0,0,0
00643K.TW,群益深証中小+R,0.0,0.0,0.0,0.0,False,一般,一般,0,0,0
00645.TW,富邦日本,49.1,212183.0,0.10436888,-0.6072874493927125,False,一般,一般,0,0,0
00646.TW,元大S&P500,68.7,6829534.0,4.69341414,0.43859649122807015,False,一般,一般,0,0,0
00647L.TW,元大S&P500正2,119.35,25740.0,0.03073641,0.8023648648648648,False,一般,一般,0,0,0
00648R.TW,元大S&P500反1,4.32,541328.0,0.02335868,-0.23094688221709006,False,一般,一般,0,0,0
00650L.TW,復華香港正2,18.55,9386850.0,1.7553226,-3.0318870883429168,False,一般,一般,0,0,0
00651R.TW,復華香港反1,5.16,255013.0,0.01313405,1.176470588235294,False,一般,一般,0,0,0
00652.TW,富邦印度,37.51,204557.0,0.07668009,-0.3188944990698911,False,一般,一般,0,0,0
00653L.TW,富邦印度正2,58.25,100953.0,0.05872642,-0.5123825789923143,True,一般,一般,0,0,0
00654R.TW,富邦印度反1,6.21,34000.0,0.0021189,0.32310177705977383,True,一般,一般,0,0,0
00655L.TW,國泰中國A50正2,36.07,1209988.0,0.43991996,-0.7702888583218708,False,一般,一般,0,0,0
00656R.TW,國泰中國A50反1,5.93,267200.0,0.0158263,0.16891891891891891,True,一般,一般,0,0,0
00657.TW,國泰日經225,61.0,389907.0,0.23943431,-0.8130081300813009,False,一般,一般,0,0,0
00657K.TW,國泰日經225+U,19.52,200.0,3.904e-05,-0.2044989775051125,False,一般,一般,0,0,0
00660.TW,元大歐洲50,42.89,20819.0,0.00892869,-0.2558139534883721,True,一般,一般,0,0,0
00661.TW,元大日經225,66.85,121292.0,0.08143373,-0.962962962962963,False,一般,一般,0,0,0
00662.TW,富邦NASDAQ,103.55,4687049.0,4.86395407,0.38778477944740675,False,一般,一般,0,0,0
00663L.TW,國泰臺灣加權正2,52.4,5985698.0,3.14222807,-0.8514664143803216,False,一般,一般,0,0,0
00664R.TW,國泰臺灣加權反1,2.53,8539952.0,0.21561145,0.3968253968253968,False,一般,一般,0,0,0
00665L.TW,富邦恒生國企正2,11.23,28856627.0,3.2770124,-3.4393809114359417,False,一般,一般,0,0,0
00666R.TW,富邦恒生國企反1,8.69,60805.0,0.00525721,2.235294117647059,False,一般,一般,0,0,0
00668.TW,國泰美國道瓊,56.85,568440.0,0.32363639,1.1565836298932384,True,一般,一般,0,0,0
00668K.TW,國泰美國道瓊+U,18.06,200.0,3.612e-05,1.06323447118075,False,一般,一般,0,0,0
00669R.TW,國泰美國道瓊反1,5.57,1963843.0,0.10936646,-0.7130124777183601,True,一般,一般,0,0,0
00670L.TW,富邦NASDAQ正2,165.1,1455368.0,2.40804923,0.9477224090492206,True,一般,一般,0,0,0
00671R.TW,富邦NASDAQ反1,2.82,7738754.0,0.21861352,-1.0526315789473686,True,一般,一般,0,0,0
00673R.TW,期元大S&P原油反1,29.1,8525665.0,2.47305684,3.0453257790368267,True,一般,一般,0,0,0
00674R.TW,期元大S&P黃金反1,5.7,2421308.0,0.13807484,0.0,True,一般,一般,0,0,0
00675L.TW,富邦臺灣加權正2,159.4,2408570.0,3.84342736,-0.6853582554517135,False,一般,一般,0,0,0
00676R.TW,富邦臺灣加權反1,8.6,1896740.0,0.16279324,0.46728971962616817,False,一般,一般,0,0,0
00678.TW,群益那斯達克生技,35.15,518872.0,0.18240157,2.3289665211062593,True,一般,一般,0,0,0
00680L.TW,元大美債20正2,7.19,29005578.0,2.08599598,0.5594405594405595,True,一般,一般,0,0,0
00681R.TW,元大美債20反1,20.84,181000.0,0.0376924,-0.3347680535628886,False,一般,一般,0,0,0
00682U.TW,期元大美元指數,20.2,46111.0,0.00931543,-0.04948045522018802,True,一般,一般,0,0,0
00683L.TW,期元大美元指正2,20.83,72092.0,0.01499945,0.7740686985970006,True,一般,一般,0,0,0
00684R.TW,期元大美元指反1,15.55,40402.0,0.00629022,-0.5118362124120281,True,一般,一般,0,0,0
00685L.TW,群益臺灣加權正2,143.0,595303.0,0.85238875,-0.6944444444444444,False,一般,一般,0,0,0
00686R.TW,群益臺灣加權反1,1.53,4717265.0,0.07249278,-0.6493506493506493,False,一般,一般,0,0,0
00688L.TW,國泰20年美債正2,7.18,13978795.0,1.0026368,0.7012622720897617,True,一般,一般,0,0,0
00689R.TW,國泰20年美債反1,21.72,1002.0,0.00021762,-0.13793103448275862,True,一般,一般,0,0,0
00690.TW,兆豐藍籌30,46.8,825594.0,0.38678296,-0.6158420046719049,True,一般,一般,0,0,0
00692.TW,富邦公司治理,60.8,1107159.0,0.67488783,-0.7346938775510204,False,一般,一般,0,0,0
00693U.TW,期街口S&P黃豆,20.33,555205.0,0.11261601,-0.24533856722276742,False,一般,一般,0,0,0
00700.TW,富邦恒生國企,18.66,296071.0,0.0555012,-1.582278481012658,False,一般,一般,0,0,0
00701.TW,國泰股利精選30,29.28,3224729.0,0.94253316,0.3427004797806717,True,一般,一般,0,0,0
00702.TW,國泰標普低波高息,23.36,129741.0,0.0303017,0.2575107296137339,True,一般,一般,0,0,0
00703.TW,台新MSCI中國,22.2,125600.0,0.02795688,-1.2894619831036016,True,一般,一般,0,0,0
00706L.TW,期元大S&P日圓正2,20.53,788769.0,0.1615131,-0.14591439688715951,False,一般,一般,0,0,0
00707R.TW,期元大S&P日圓反1,31.14,2004.0,0.00062405,0.0,False,一般,一般,0,0,0
00708L.TW,期元大S&P黃金正2,95.8,4526516.0,4.34784375,-0.10427528675703861,False,一般,一般,0,0,0
00709.TW,富邦歐洲,37.8,73653.0,0.02786995,0.8,False,一般,一般,0,0,0
00710B.TW,復華彭博非投等債,19.02,19199054.0,3.6517004,0.10526315789473684,True,一般,一般,0,0,0
00711B.TW,復華彭博新興債,16.31,109758.0,0.01791073,0.12277470841006753,False,一般,一般,0,0,0
00712.TW,復華富時不動產,9.28,41563899.0,3.8634043,0.3243243243243243,True,一般,一般,0,0,0
00713.TW,元大台灣高息低波,50.85,19055613.0,9.67509603,0.3948667324777888,True,一般,一般,0,0,0
