Code,Name,Close,Daily_Chg%,Daily_Amount_B,Volume,Sector,Industry,Vol_Increase,RVOL,Weekly_Chg%,Monthly_Chg%
0050.TW,元大台灣50,69.85,-0.7812500000000002,85.4040031185,122267721.0,一般,一般,False,0,0,0
0051.TW,元大中型100,96.2,1.6913319238900635,0.105014806,109163.0,一般,一般,False,0,0,0
0052.TW,富邦科技,40.77,-0.8029197080291971,29.4703449876,72284388.0,一般,一般,False,0,0,0
0053.TW,元大電子,150.85,-0.09933774834437085,0.039821382999999995,26398.0,一般,一般,False,0,0,0
0055.TW,元大MSCI金融,31.85,-0.8097165991902834,0.044184867999999995,138728.0,一般,一般,False,0,0,0
0056.TW,元大高股息,37.62,0.966183574879227,31.6632492,84166000.0,一般,一般,False,0,0,0
0057.TW,富邦摩台,203.75,-0.6339917093391856,0.0135147375,6633.0,一般,一般,False,0,0,0
0061.TW,元大寶滬深,23.92,0.29350104821802936,0.10451341680000002,436929.0,一般,一般,False,0,0,0
006203.TW,元大MSCI台灣,125.9,-0.7097791798107255,0.0074495030000000005,5917.0,一般,一般,False,0,0,0
006204.TW,永豐臺灣加權,154.65,0.3569110966904608,0.006125686500000001,3961.0,一般,一般,False,0,0,0
006205.TW,富邦上証,40.94,0.0,0.14724398519999998,359658.0,一般,一般,False,0,0,0
006206.TW,元大上證50,38.7,0.20714655618850336,0.07783344,201120.0,一般,一般,False,0,0,0
006207.TW,復華滬深,31.66,-0.18915510718789408,0.0568040554,179419.0,一般,一般,False,0,0,0
006208.TW,富邦台50,159.0,-0.9345794392523363,13.47830121,8476919.0,一般,一般,False,0,0,0
00625K.TW,富邦上証+R,0.0,0.0,0.0,0.0,一般,一般,False,0,0,0
00631L.TW,元大台灣50正2,401.7,-0.6430868167202572,12.005664138,2988714.0,一般,一般,False,0,0,0
00632R.TW,元大台灣50反1,15.6,0.1926782273603083,5.273621808,33805268.0,一般,一般,False,0,0,0
00633L.TW,富邦上証正2,51.85,-0.8604206500956023,2.283762286,4404556.0,一般,一般,False,0,0,0
00634R.TW,富邦上証反1,3.15,0.0,0.0021798,69200.0,一般,一般,False,0,0,0
00635U.TW,期元大S&P黃金,47.77,-0.1254442818314865,2.9867819894,6252422.0,一般,一般,False,0,0,0
00636.TW,國泰中國A50,27.63,-0.3606202668589975,0.2151291141,778607.0,一般,一般,False,0,0,0
00636K.TW,國泰中國A50+U,8.86,0.11299435028248588,1.772e-05,200.0,一般,一般,False,0,0,0
00637L.TW,元大滬深300正2,21.34,-0.6517690875232774,7.6300376152,35754628.0,一般,一般,False,0,0,0
00638R.TW,元大滬深300反1,6.73,0.5979073243647235,0.0023618935,35095.0,一般,一般,False,0,0,0
00639.TW,富邦深100,15.54,-0.5758157389635317,0.11839832759999999,761894.0,一般,一般,False,0,0,0
00640L.TW,富邦日本正2,82.15,-1.0836845273931366,0.1581329995,192493.0,一般,一般,False,0,0,0
00641R.TW,富邦日本反1,4.42,0.22675736961451248,0.094787342,2144510.0,一般,一般,False,0,0,0
00642U.TW,期元大S&P石油,14.81,-2.8215223097112863,2.8553887340000004,19280140.0,一般,一般,False,0,0,0
00643.TW,群益深証中小,17.75,-0.22484541877459246,0.5723862025,3224711.0,一般,一般,False,0,0,0
00643K.TW,群益深証中小+R,0.0,0.0,0.0,0.0,一般,一般,False,0,0,0
00645.TW,富邦日本,49.1,-0.6072874493927125,0.104181853,212183.0,一般,一般,False,0,0,0
00646.TW,元大S&P500,68.7,0.43859649122807015,4.691889858,6829534.0,一般,一般,False,0,0,0
00647L.TW,元大S&P500正2,119.35,0.8023648648648648,0.03072069,25740.0,一般,一般,False,0,0,0
00648R.TW,元大S&P500反1,4.32,-0.23094688221709006,0.0233853696,541328.0,一般,一般,False,0,0,0
00650L.TW,復華香港正2,18.55,-3.0318870883429168,1.741260675,9386850.0,一般,一般,False,0,0,0
00651R.TW,復華香港反1,5.16,1.176470588235294,0.013158670800000001,255013.0,一般,一般,False,0,0,0
00652.TW,富邦印度,37.51,-0.3188944990698911,0.07672933069999999,204557.0,一般,一般,False,0,0,0
00653L.TW,富邦印度正2,58.25,-0.5123825789923143,0.0588051225,100953.0,一般,一般,False,0,0,0
00654R.TW,富邦印度反1,6.21,0.32310177705977383,0.0021114,34000.0,一般,一般,False,0,0,0
00655L.TW,國泰中國A50正2,36.07,-0.7702888583218708,0.43644267160000005,1209988.0,一般,一般,False,0,0,0
00656R.TW,國泰中國A50反1,5.93,0.16891891891891891,0.01584496,267200.0,一般,一般,False,0,0,0
00657.TW,國泰日經225,61.0,-0.8130081300813009,0.23784327,389907.0,一般,一般,False,0,0,0
00657K.TW,國泰日經225+U,19.52,-0.2044989775051125,3.904e-05,200.0,一般,一般,False,0,0,0
00660.TW,元大歐洲50,42.89,-0.2558139534883721,0.0089292691,20819.0,一般,一般,False,0,0,0
00661.TW,元大日經225,66.85,-0.962962962962963,0.081083702,121292.0,一般,一般,False,0,0,0
00662.TW,富邦NASDAQ,103.55,0.38778477944740675,4.8534392395,4687049.0,一般,一般,False,0,0,0
00663L.TW,國泰臺灣加權正2,52.4,-0.8514664143803216,3.1365057519999997,5985698.0,一般,一般,False,0,0,0
00664R.TW,國泰臺灣加權反1,2.53,0.3968253968253968,0.2160607856,8539952.0,一般,一般,False,0,0,0
00665L.TW,富邦恒生國企正2,11.23,-3.4393809114359417,3.2405992121000002,28856627.0,一般,一般,False,0,0,0
00666R.TW,富邦恒生國企反1,8.69,2.235294117647059,0.005283954499999999,60805.0,一般,一般,False,0,0,0
00668.TW,國泰美國道瓊,56.85,1.1565836298932384,0.32315814,568440.0,一般,一般,False,0,0,0
00668K.TW,國泰美國道瓊+U,18.06,1.06323447118075,3.611999999999999e-05,200.0,一般,一般,False,0,0,0
00669R.TW,國泰美國道瓊反1,5.57,-0.7130124777183601,0.1093860551,1963843.0,一般,一般,False,0,0,0
00670L.TW,富邦NASDAQ正2,165.1,0.9477224090492206,2.402812568,1455368.0,一般,一般,False,0,0,0
00671R.TW,富邦NASDAQ反1,2.82,-1.0526315789473686,0.21823286279999998,7738754.0,一般,一般,False,0,0,0
00673R.TW,期元大S&P原油反1,29.1,3.0453257790368267,2.480968515,8525665.0,一般,一般,False,0,0,0
00674R.TW,期元大S&P黃金反1,5.7,0.0,0.13801455599999998,2421308.0,一般,一般,False,0,0,0
00675L.TW,富邦臺灣加權正2,159.4,-0.6853582554517135,3.83926058,2408570.0,一般,一般,False,0,0,0
00676R.TW,富邦臺灣加權反1,8.6,0.46728971962616817,0.16311964,1896740.0,一般,一般,False,0,0,0
00678.TW,群益那斯達克生技,35.15,2.3289665211062593,0.182383508,518872.0,一般,一般,False,0,0,0
00680L.TW,元大美債20正2,7.19,0.5594405594405595,2.0855010582,29005578.0,一般,一般,False,0,0,0
00681R.TW,元大美債20反1,20.84,-0.3347680535628886,0.0377204,181000.0,一般,一般,False,0,0,0
00682U.TW,期元大美元指數,20.2,-0.04948045522018802,0.009314422,46111.0,一般,一般,False,0,0,0
00683L.TW,期元大美元指正2,20.83,0.7740686985970006,0.015016763599999998,72092.0,一般,一般,False,0,0,0
00684R.TW,期元大美元指反1,15.55,-0.5118362124120281,0.006282511,40402.0,一般,一般,False,0,0,0
00685L.TW,群益臺灣加權正2,143.0,-0.6944444444444444,0.85128329,595303.0,一般,一般,False,0,0,0
00686R.TW,群益臺灣加權反1,1.53,-0.6493506493506493,0.0721741545,4717265.0,一般,一般,False,0,0,0
00688L.TW,國泰20年美債正2,7.18,0.7012622720897617,1.003677481,13978795.0,一般,一般,False,0,0,0
00689R.TW,國泰20年美債反1,21.72,-0.13793103448275862,0.0002176344,1002.0,一般,一般,False,0,0,0
00690.TW,兆豐藍籌30,46.8,-0.6158420046719049,0.38637799199999995,825594.0,一般,一般,False,0,0,0
00692.TW,富邦公司治理,60.8,-0.7346938775510204,0.6731526720000001,1107159.0,一般,一般,False,0,0,0
00693U.TW,期街口S&P黃豆,20.33,-0.24533856722276742,0.11287317649999999,555205.0,一般,一般,False,0,0,0
00700.TW,富邦恒生國企,18.66,-1.582278481012658,0.0552468486,296071.0,一般,一般,False,0,0,0
00701.TW,國泰股利精選30,29.28,0.3427004797806717,0.9442006512000001,3224729.0,一般,一般,False,0,0,0
00702.TW,國泰標普低波高息,23.36,0.2575107296137339,0.030307497599999997,129741.0,一般,一般,False,0,0,0
00703.TW,台新MSCI中國,22.2,-1.2894619831036016,0.0278832,125600.0,一般,一般,False,0,0,0
00706L.TW,期元大S&P日圓正2,20.53,-0.14591439688715951,0.1619342757,788769.0,一般,一般,False,0,0,0
00707R.TW,期元大S&P日圓反1,31.14,0.0,0.0006240455999999999,2004.0,一般,一般,False,0,0,0
00708L.TW,期元大S&P黃金正2,95.8,-0.10427528675703861,4.336402328,4526516.0,一般,一般,False,0,0,0
00709.TW,富邦歐洲,37.8,0.8,0.027840834,73653.0,一般,一般,False,0,0,0
00710B.TW,復華彭博非投等債,19.02,0.10526315789473684,3.6516600707999998,19199054.0,一般,一般,False,0,0,0
00711B.TW,復華彭博新興債,16.31,0.12277470841006753,0.017901529799999996,109758.0,一般,一般,False,0,0,0
00712.TW,復華富時不動產,9.28,0.3243243243243243,3.8571298271999996,41563899.0,一般,一般,False,0,0,0
00713.TW,元大台灣高息低波,50.85,0.3948667324777888,9.689779210500001,19055613.0,一般,一般,False,0,0,0
00714.TW,群益道瓊美國地產,20.15,0.9013520280420632,0.039593138,196492.0,一般,一般,False,0,0,0
00715L.TW,期街口布蘭特正2,18.98,-4.718875502008031,17.080321788400003,89991158.0,一般,一般,False,0,0,0
00717.TW,富邦美國特別股,15.28,0.19672131147540983,0.024931306399999995,163163.0,一般,一般,False,0,0,0
00728.TW,第一金工業30,38.95,1.7502612330198537,0.092073905,236390.0,一般,一般,False,0,0,0
00730.TW,富邦臺灣優質高息,23.63,0.8536064874093043,0.1062797058,449766.0,一般,一般,False,0,0,0
00731.TW,復華富時高息低波,70.0,1.083032490974729,0.6635083,947869.0,一般,一般,False,0,0,0
00733.TW,富邦臺灣中小,48.56,1.7389482505761573,1.1438468248,2355533.0,一般,一般,False,0,0,0
00735.TW,國泰臺韓科技,57.8,0.26019080659150046,0.73632287,1273915.0,一般,一般,False,0,0,0
00736.TW,國泰新興市場,28.96,0.034542314335060456,0.03521536,121600.0,一般,一般,False,0,0,0
00737.TW,國泰AI機器人,37.53,2.122448979591837,0.23566062780000002,627926.0,一般,一般,False,0,0,0
00738U.TW,期元大道瓊白銀,65.65,1.3117283950617282,19.353227413000003,29479402.0,一般,一般,False,0,0,0
00739.TW,元大MSCI A股,27.45,0.18248175182481755,0.014130710999999999,51478.0,一般,一般,False,0,0,0
00752.TW,中信中國50,26.82,-1.794214573416331,1.2768503148,4760814.0,一般,一般,False,0,0,0
00753L.TW,中信中國50正2,12.96,-2.8485757121439277,2.9386658736,22674891.0,一般,一般,False,0,0,0
00757.TW,統一FANG+,117.1,0.042716787697565144,2.335426006,1994386.0,一般,一般,False,0,0,0
00762.TW,元大全球AI,85.15,1.3087447947650206,1.1921025545000001,1400003.0,一般,一般,False,0,0,0
00763U.TW,期街口道瓊銅,33.02,-1.1081162024558249,1.8143225334,5494617.0,一般,一般,False,0,0,0
00770.TW,國泰北美科技,58.65,0.7731958762886599,0.4808625525,819885.0,一般,一般,False,0,0,0
00771.TW,元大US高息特別股,16.17,-0.18518518518518515,0.0025897872,16016.0,一般,一般,False,0,0,0
00775B.TW,新光投等債15+,32.61,-0.18365472910927455,0.026384424899999998,80909.0,一般,一般,False,0,0,0
00783.TW,富邦中証500,27.03,0.9335324869305451,0.0338102052,125084.0,一般,一般,False,0,0,0
00830.TW,國泰費城半導體,62.15,1.8852459016393441,15.006899347000001,24146258.0,一般,一般,False,0,0,0
00850.TW,元大臺灣ESG永續,57.85,-0.5159071367153912,1.208628811,2089246.0,一般,一般,False,0,0,0
00851.TW,台新全球AI,57.55,0.08695652173913043,0.0164184395,28529.0,一般,一般,False,0,0,0
00852L.TW,國泰美國道瓊正2,32.25,2.1539436173582516,0.08585724,266224.0,一般,一般,False,0,0,0
00861.TW,元大全球未來通訊,58.45,0.42955326460481097,0.130232445,222810.0,一般,一般,False,0,0,0
00865B.TW,國泰US短期公債,47.27,-0.06342494714587738,1.1681074053,2471139.0,一般,一般,False,0,0,0
00875.TW,國泰網路資安,38.62,0.7828810020876826,0.0207879874,53827.0,一般,一般,False,0,0,0
00876.TW,元大全球5G,55.45,1.5567765567765566,0.2050036405,369709.0,一般,一般,False,0,0,0
00878.TW,國泰永續高股息,22.2,0.9090909090909092,26.382893364,118841862.0,一般,一般,False,0,0,0
00881.TW,國泰台灣科技龍頭,34.63,-0.4026459591601955,13.959608915700002,40310739.0,一般,一般,False,0,0,0
00882.TW,中信中國高股息,15.45,0.32467532467532473,1.586008317,10265426.0,一般,一般,False,0,0,0
00885.TW,富邦越南,18.58,1.6411378555798688,2.0129988192,10834224.0,一般,一般,False,0,0,0
00891.TW,中信關鍵半導體,21.38,1.4712861888941622,2.9101288652,13611454.0,一般,一般,False,0,0,0
00892.TW,富邦台灣半導體,23.22,0.7375271149674621,0.2401335774,1034167.0,一般,一般,False,0,0,0
00893.TW,國泰智能電動車,33.22,-0.6875934230194322,0.45888845640000003,1381362.0,一般,一般,False,0,0,0
00894.TW,中信小資高價30,28.93,-0.9585758301951387,1.3569434241,4690437.0,一般,一般,False,0,0,0
00895.TW,富邦未來車,40.17,-0.4707631318136769,0.3295691412,820436.0,一般,一般,False,0,0,0
00896.TW,中信綠能及電動車,19.87,0.9141696292534282,1.6090302769,8097787.0,一般,一般,False,0,0,0
00897.TW,富邦基因免疫生技,9.0,3.0927835051546393,0.17743662,1971518.0,一般,一般,False,0,0,0
00898.TW,國泰基因免疫革命,8.19,3.802281368821293,0.208315107,2543530.0,一般,一般,False,0,0,0
00899.TW,FT潔淨能源,21.22,0.8076009501187651,0.058401683999999995,275220.0,一般,一般,False,0,0,0
