Code,Name,Sector,Industry,Close,Daily_Chg%,Daily_Amount_B,RVOL,Volume
^TWII,台灣加權指數,Index,Index,30435.47,-0.46,0.0,0.0,0
^TWOII,櫃買指數,Index,Index,278.97,1.2,3.03,0.96,1086300
^DJI,道瓊工業,US Index,US Index,49401.3,-0.12,32336.84,0.15,65457469
^GSPC,S&P 500,US Index,US Index,6954.17,0.13,22195.93,0.07,319174450
^IXIC,那斯達克,US Index,US Index,23610.46,0.27,361189.05,0.2,1529784000
^SOX,費城半導體,US Index,US Index,7543.93,-1.4,0.0,0.0,0
^VIX,美股 VIX (全球恐慌),Volatility,Volatility,15.07,2.17,0.0,0.0,0
GC=F,黃金,Commodity,Commodity,4455.0,-0.61,5.13,129.47,115151
SI=F,白銀,Commodity,Commodity,77.1,-4.26,0.07,131.3,97240
HG=F,銅,Commodity,Commodity,5.9,-1.9,0.0,28.02,39266
CL=F,原油,Commodity,Commodity,56.5,-1.1,0.1,0.83,182584
2330.TW,台積電,Semiconductor,Semiconductor,1675.0,-1.76,891.84,1.32,53244146
2317.TW,鴻海,EMS,EMS,238.5,1.06,200.6,1.61,84107402
2454.TW,聯發科,IC Design,IC Design,1490.0,0.34,111.67,0.86,7494525
2382.TW,廣達,AI Server,AI Server,282.0,0.0,53.95,0.89,19131936
2308.TW,台達電,Power,Power,1030.0,-1.9,194.38,1.72,18872155
2881.TW,富邦金,Financial,Financial,96.1,-0.31,12.5,1.09,13003046
2882.TW,國泰金,Financial,Financial,75.6,-0.53,12.45,0.63,16467808
2412.TW,中華電,Telecom,Telecom,133.0,0.38,16.31,1.81,12263654
6505.TW,台塑化,Plastics,Plastics,47.7,1.71,4.05,1.98,8494282
3231.TW,緯創,AI Server,AI Server,158.5,2.59,122.24,1.5,77122438
6669.TW,緯穎,AI Server,AI Server,4670.0,1.19,100.22,1.79,2145983
2356.TW,英業達,Server,Server,43.85,1.5,5.23,0.76,11922720
2376.TW,技嘉,Motherboard,Motherboard,245.0,0.0,8.78,0.5,3582204
2357.TW,華碩,PC,PC,543.0,0.74,25.79,1.18,4749990
3037.TW,欣興,PCB,PCB,226.0,-1.95,133.74,2.48,59175352
3035.TW,智原,IP,IP,177.0,3.51,19.42,3.11,10971127
2603.TW,長榮,Shipping,Shipping,195.5,3.17,40.05,2.28,20484170
2609.TW,陽明,Shipping,Shipping,57.6,3.78,18.79,2.49,32629440
2615.TW,萬海,Shipping,Shipping,80.5,2.94,10.78,2.54,13386937
1605.TW,華新,Wire,Wire,39.65,9.99,104.86,2.26,264473591
1513.TW,中興電,Electric,Electric,146.0,-0.68,4.4,1.72,3014478
1519.TW,華城,Electric,Electric,755.0,2.17,22.69,1.31,3004879
3661.TW,世芯-KY,IC Design,IC Design,3680.0,-1.47,84.89,0.98,2306706
3443.TW,創意,IC Design,IC Design,2490.0,0.2,84.74,1.03,3403243
5274.TWO,信驊,IC Design,IC Design,7380.0,2.5,39.06,1.6,529260
3529.TWO,力旺,IC Design,IC Design,1775.0,2.6,14.75,0.93,830726
3131.TWO,弘塑,Semicon Equip,Semicon Equip,1825.0,3.69,29.37,1.18,1609128
3653.TW,健策,Cooling,Cooling,2485.0,-5.87,63.18,2.64,2542302
2059.TW,川湖,Rails,Rails,3255.0,1.56,31.23,1.0,959308
8210.TW,勤誠,Chassis,Chassis,975.0,-1.52,27.22,1.28,2791484
6409.TW,旭隼,UPS,UPS,1005.0,-1.47,11.67,1.28,1160790
6643.TWO,M31,IP,IP,451.5,9.99,10.05,3.83,2226016
8299.TWO,群聯,IC Design,IC Design,1675.0,3.72,69.04,0.45,4121780
8069.TWO,元太,EPaper,EPaper,180.5,-3.48,13.97,0.95,7738162
3293.TWO,鈊象,Gaming,Gaming,724.0,1.26,11.26,1.64,1555327
