Code,Name,Close,Daily_Chg%,Daily_Amount_B,Volume,Sector,Industry,RVOL,Weekly_Chg%,Monthly_Chg%,Vol_Increase
^TWII,加權指數,33605.7109375,1.6108084869157686,0,0,指數/原物料,指數/原物料,0,0,0,0
^TWOII,櫃買指數,297.7099914550781,0.401322840110918,0,0,指數/原物料,指數/原物料,0,0,0,0
^DJI,道瓊工業,49662.66015625,0.2613777677641499,0,0,指數/原物料,指數/原物料,0,0,0,0
^GSPC,S&P 500,6881.31005859375,0.5566070147410812,0,0,指數/原物料,指數/原物料,0,0,0,0
^IXIC,那斯達克,22753.630859375,0.7761849757584928,0,0,指數/原物料,指數/原物料,0,0,0,0
^SOX,費城半導體,8214.349609375,0.962381088699683,0,0,指數/原物料,指數/原物料,0,0,0,0
^VIX,美股 VIX,19.6200008392334,-3.302119497595556,0,0,指數/原物料,指數/原物料,0,0,0,0
GC=F,黃金,5034.5,0.9625990173468364,0,0,指數/原物料,指數/原物料,0,0,0,0
SI=F,白銀,79.0199966430664,1.9494431681047635,0,0,指數/原物料,指數/原物料,0,0,0,0
HG=F,銅,5.806000232696533,0.2157639806252752,0,0,指數/原物料,指數/原物料,0,0,0,0
CL=F,原油,65.45999908447266,0.41416878808845464,0,0,指數/原物料,指數/原物料,0,0,0,0
HRC=F,熱軋鋼,987.0,0.7142857142857143,0,0,指數/原物料,指數/原物料,0,0,0,0
