Code,Close,Daily_Chg%,Daily_Amount_B,Volume,Sector,Name,Industry,RVOL,Weekly_Chg%,Monthly_Chg%,Vol_Increase
5274.TWO,15925.0,-1.393188854489164,71.29160675,447671.0,伺服器IC,信驊,伺服器IC,0,0,0,0
6669.TW,4890.0,-3.9292730844793713,80.7948294,1652246.0,AI伺服器,緯穎,AI伺服器,0,0,0,0
3661.TW,4430.0,-3.485838779956427,62.1707529,1403403.0,ASIC設計,世芯-KY,ASIC設計,0,0,0,0
7769.TWO,6600.0,-0.8264462809917356,27.749634,420449.0,IC測試(興櫃),鴻勁,IC測試(興櫃),0,0,0,0
6515.TW,9490.0,-7.32421875,36.4328692,383908.0,一般,穎崴,一般,0,0,0,0
2059.TW,4450.0,-6.610703043022036,13.0102425,292365.0,一般,川湖,一般,0,0,0,0
3008.TW,3365.0,2.2796352583586628,201.299011,5982140.0,光學鏡頭,大立光,光學鏡頭,0,0,0,0
3443.TW,4465.0,-5.80168776371308,114.5511824,2565536.0,一般,創意,一般,0,0,0,0
3653.TW,3090.0,-5.5045871559633035,35.1512838,1137582.0,一般,健策,一般,0,0,0,0
6510.TWO,3460.0,-6.989247311827956,23.7773968,687208.0,一般,精測,一般,0,0,0,0
6223.TWO,5730.0,-6.601466992665037,98.4320028,1717836.0,一般,旺矽,一般,0,0,0,0
3131.TWO,2580.0,-7.027027027027027,16.4165142,636299.0,一般,弘塑,一般,0,0,0,0
3529.TWO,3310.0,-4.057971014492753,64.2139669,1939999.0,一般,力旺,一般,0,0,0,0
2330.TW,2205.0,-1.5625,1005.16977855,45585931.0,半導體業,台積電,半導體業,0,0,0,0
8299.TWO,2465.0,-9.87202925045704,222.54594345,9028233.0,一般,群聯,一般,0,0,0,0
2383.TW,4535.0,-0.22002200220022,87.1072823,1920778.0,一般,台光電,一般,0,0,0,0
2454.TW,3155.0,-7.205882352941176,317.25011005,10055471.0,IC設計,聯發科,IC設計,0,0,0,0
3665.TW,1990.0,-1.728395061728395,73.1329776,3675024.0,一般,貿聯-KY,一般,0,0,0,0
6805.TW,1770.0,2.0172910662824206,20.0244171,1131323.0,一般,富世達,一般,0,0,0,0
3017.TW,2390.0,-0.8298755186721992,84.6701715,3542685.0,一般,奇鋐,一般,0,0,0,0
3533.TW,2325.0,0.0,31.253859,1344252.0,一般,嘉澤,一般,0,0,0,0
