Code,Name,Theme,Close,Volume,Daily_Chg%,Daily_Amount_B,Weekly_Chg%,Weekly_Amount_B,Monthly_Chg%,Monthly_Amount_B
NVDA,NVIDIA,AI 龍頭,188.85,147941400.0,1.26,27.94,0.13,27.94,4.07,27.94
MSFT,Microsoft,軟體/雲端,472.94,25539600.0,-2.21,12.08,-3.09,12.08,-3.48,12.08
AAPL,Apple,消費電子,271.01,37822400.0,-0.31,10.25,-1.02,10.25,-5.3,10.25
AMZN,Amazon,電商/AWS,226.5,51399100.0,-1.87,11.64,-2.53,11.64,-3.38,11.64
GOOG,Alphabet,搜尋引擎,315.32,22027700.0,0.48,6.95,-0.11,6.95,-0.22,6.95
META,Meta,社群/廣告,650.41,13704300.0,-1.47,8.91,-2.57,8.91,0.51,8.91
TSLA,Tesla,電動車,438.07,85263000.0,-2.59,37.35,-9.75,37.35,2.06,37.35
TSM,TSMC,晶圓代工,319.61,18499300.0,5.17,5.91,6.96,5.91,9.42,5.91
AVGO,Broadcom,網通/ASIC,347.62,25355300.0,0.44,8.81,-0.74,8.81,-8.9,8.81
AMD,AMD,CPU/GPU,223.47,36402400.0,4.35,8.13,3.92,8.13,3.82,8.13
INTC,Intel,半導體,39.38,95183100.0,6.72,3.75,8.9,3.75,-9.41,3.75
MU,Micron,記憶體,315.42,42277600.0,10.51,13.34,10.03,13.34,31.7,13.34
QCOM,Qualcomm,手機晶片,172.98,6530700.0,1.13,1.13,-1.02,1.13,1.34,1.13
TXN,Texas Inst,類比IC,177.52,6133600.0,2.32,1.09,0.22,1.09,1.29,1.09
AMAT,Applied Mat,設備,268.87,7551200.0,4.62,2.03,3.1,2.03,1.33,2.03
LRCX,Lam Research,設備,185.06,11953400.0,8.11,2.21,4.36,2.21,16.99,2.21
SMCI,Super Micro,伺服器,30.96,30595900.0,5.77,0.95,1.34,0.95,-5.95,0.95
ORCL,Oracle,資料庫,195.71,14526500.0,0.41,2.84,-0.9,2.84,-2.68,2.84
ADBE,Adobe,創意軟體,333.3,5637500.0,-4.77,1.88,-5.58,1.88,3.25,1.88
CRM,Salesforce,CRM,253.62,9678000.0,-4.26,2.45,-4.39,2.45,8.06,2.45
CRWD,CrowdStrike,資安,453.58,3322400.0,-3.24,1.51,-4.93,1.51,-12.19,1.51
PLTR,Palantir,大數據/AI,167.86,60335400.0,-5.56,10.13,-13.55,10.13,-1.66,10.13
PANW,Palo Alto,資安,179.37,6903100.0,-2.62,1.24,-4.19,1.24,-5.54,1.24
JPM,JPMorgan,銀行龍頭,325.48,8050200.0,1.01,2.62,-1.12,2.62,5.72,2.62
V,Visa,支付,346.48,5402000.0,-1.21,1.87,-2.44,1.87,5.11,1.87
MA,Mastercard,支付,563.13,3901900.0,-1.36,2.2,-2.82,2.2,3.15,2.2
PYPL,PayPal,支付,58.14,14677400.0,-0.41,0.85,-3.16,0.85,-7.57,0.85
COIN,Coinbase,加密交易所,236.53,8743700.0,4.59,2.07,-1.33,2.07,-10.15,2.07
MSTR,MicroStrategy,比特幣持倉,157.16,20122800.0,3.43,3.16,-0.98,3.16,-13.33,3.16
WMT,Walmart,零售龍頭,112.76,14305000.0,1.21,1.61,1.03,1.61,0.31,1.61
COST,Costco,量販,854.5,2372000.0,-0.91,2.03,-1.99,2.03,-7.32,2.03
LLY,Eli Lilly,減肥藥,1080.36,2467700.0,0.53,2.67,0.31,2.67,3.27,2.67
JNJ,J&J,醫療保健,207.35,6325500.0,0.19,1.31,-0.21,1.31,0.94,1.31
NFLX,Netflix,串流,90.99,41050100.0,-2.95,3.74,-2.83,3.74,-16.79,3.74
DIS,Disney,娛樂,111.85,8903300.0,-1.69,1.0,-2.3,1.0,6.7,1.0
XOM,Exxon Mobil,石油,122.65,14172800.0,1.92,1.74,2.88,1.74,6.3,1.74
BTC-USD,Bitcoin,加密貨幣,89968.63,36208492544.0,0.03,3257628.57,3.25,3257628.57,-0.37,3257628.57
^VIX,VIX Index,恐慌指數,14.51,0.0,-2.94,0.0,7.72,0.0,-12.54,0.0
