Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B
CRM,Salesforce,Technology,Software - Application,214.08,18402170.0,2.07,-6.09,-6.14,-19.59,3.94,3.94,3.94
V,Visa,Financial Services,Credit Services,331.8,8473601.0,1.22,1.47,1.67,-6.43,2.81,2.81,2.81
WMT,Walmart,Consumer Defensive,Discount Stores,117.41,14882222.0,0.71,0.72,-0.36,4.34,1.75,1.75,1.75
FFBC,FFBC,Financial Services,Banks - Regional,28.8,2046448.0,1.65,5.88,4.65,13.21,0.06,0.06,0.06
COST,Costco,Consumer Defensive,Discount Stores,952.89,1630612.0,0.76,-0.82,-2.38,9.8,1.55,1.55,1.55
TSM,TSMC,Technology,Semiconductors,339.55,13775010.0,1.19,-0.8,3.72,12.84,4.68,4.68,4.68
BBAI,BBAI,Technology,Information Technology Services,5.52,99009815.0,1.24,-8.15,-6.91,-2.65,0.55,0.55,0.55
BKD,BKD,Healthcare,Medical Care Facilities,14.5,8953779.0,1.55,10.6,13.81,33.89,0.13,0.13,0.13
OLMA,OLMA,Healthcare,Biotechnology,26.06,1187554.0,1.33,6.06,-1.36,1.64,0.03,0.03,0.03
HG=F,Copper (銅),Other,Other,6.29,194232.0,225.75,6.67,9.46,14.48,0.0,0.0,0.0
CMCSA,CMCSA,Communication Services,Telecom Services,29.24,63163303.0,1.62,2.92,0.03,4.45,1.85,1.85,1.85
BBD,BBD,Financial Services,Banks - Regional,4.15,51869142.0,0.88,-0.24,7.51,25.0,0.22,0.22,0.22
NCLH,NCLH,Consumer Cyclical,Travel Services,22.92,31910412.0,1.85,10.25,10.09,2.28,0.73,0.73,0.73
NVDA,NVIDIA,Technology,Semiconductors,192.51,165889642.0,1.19,0.52,4.15,2.28,31.94,31.94,31.94
DIS,Disney,Communication Services,Entertainment,111.58,8612092.0,0.86,1.84,-1.44,-2.29,0.96,0.96,0.96
PANW,Palo Alto,Technology,Software - Infrastructure,176.2,10553936.0,1.89,-4.1,-3.33,-5.7,1.86,1.86,1.86
BMNR,BMNR,Financial Services,Capital Markets,26.7,55851292.0,1.74,-9.89,-7.61,-6.45,1.49,1.49,1.49
GOOG,Alphabet,Communication Services,Internet Content & Information,338.66,24028129.0,1.32,0.71,2.36,7.72,8.14,8.14,8.14
COIN,Coinbase,Financial Services,Financial Data & Stock Exchanges,199.18,14445294.0,1.65,-4.89,-10.74,-14.8,2.88,2.88,2.88
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,140.51,35703449.0,2.22,2.13,5.14,16.58,5.02,5.02,5.02
SI=F,Silver (白銀),Other,Other,116.72,189496.0,581.28,3.19,21.61,67.09,0.02,0.02,0.02
MSTR,MicroStrategy,Technology,Software - Application,143.19,34125717.0,2.49,-9.63,-11.05,-7.85,4.89,4.89,4.89
ONDS,ONDS,Technology,Communication Equipment,11.27,86057476.0,0.91,-8.15,-10.7,33.22,0.97,0.97,0.97
^DJI,Dow Jones,Index,Market Index,49071.56,693044494.0,1.46,0.11,-0.63,1.26,34008.77,34008.77,34008.77
VIRT,VIRT,Financial Services,Capital Markets,40.66,1716669.0,1.55,8.46,9.57,18.54,0.07,0.07,0.07
AMD,AMD,Technology,Semiconductors,252.18,30867987.0,0.91,-0.22,-0.61,16.96,7.78,7.78,7.78
CRWV,CoreWeave,Technology,Software - Infrastructure,99.53,29819521.0,0.85,-6.12,8.43,32.85,2.97,2.97,2.97
AMZN,Amazon,Consumer Cyclical,Internet Retail,241.73,44419437.0,1.25,-0.53,3.15,4.16,10.74,10.74,10.74
META,Meta,Communication Services,Internet Content & Information,738.31,59471008.0,2.99,10.4,14.0,12.09,43.91,43.91,43.91
VALE,VALE,Basic Materials,Other Industrial Metals & Mining,16.94,84644067.0,2.0,1.07,7.62,31.11,1.43,1.43,1.43
LUV,LUV,Industrials,Airlines,48.5,30966006.0,3.69,18.7,14.28,17.95,1.5,1.5,1.5
CCL,CCL,Consumer Cyclical,Travel Services,31.15,40682171.0,2.52,8.46,9.34,1.4,1.27,1.27,1.27
JOBY,JOBY,Industrials,Airports & Air Services,11.14,145548791.0,9.4,-16.68,-23.38,-17.73,1.62,1.62,1.62
^GSPC,S&P 500,Index,Market Index,6969.01,4116060000.0,0.79,-0.13,0.81,0.92,28684.86,28684.86,28684.86
CNXC,CNXC,Technology,Information Technology Services,38.62,1606973.0,1.68,6.33,-11.3,-8.79,0.06,0.06,0.06
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,416.56,77010297.0,1.42,-3.45,-7.3,-9.37,32.08,32.08,32.08
ADBE,Adobe,Technology,Software - Application,291.65,7383232.0,1.71,-2.65,-2.7,-17.42,2.15,2.15,2.15
GC=F,Gold (黃金),Other,Other,5435.4,554552.0,1741.68,2.52,10.73,25.67,3.01,3.01,3.01
T,T,Communication Services,Telecom Services,25.13,62285897.0,1.17,4.4,6.57,1.45,1.57,1.57,1.57
SNAP,SNAP,Communication Services,Internet Content & Information,7.24,58872014.0,1.6,-5.61,-5.48,-8.12,0.43,0.43,0.43
CRWD,CrowdStrike,Technology,Software - Infrastructure,444.62,5213220.0,2.49,-5.24,-2.02,-6.57,2.32,2.32,2.32
RCL,RCL,Consumer Cyclical,Travel Services,345.98,7131066.0,2.72,18.65,21.16,22.39,2.47,2.47,2.47
PLTR,Palantir,Technology,Software - Infrastructure,151.86,57752743.0,1.89,-3.49,-8.46,-17.55,8.77,8.77,8.77
TAL,TAL,Consumer Defensive,Education & Training Services,12.7,15036733.0,4.19,18.03,14.11,15.56,0.19,0.19,0.19
LBRT,LBRT,Energy,Oil & Gas Equipment & Services,25.34,9774122.0,2.4,16.24,17.81,37.94,0.25,0.25,0.25
JNJ,J&J,Healthcare,Drug Manufacturers - General,227.29,6073698.0,0.69,-0.19,4.03,9.51,1.38,1.38,1.38
QCOM,Qualcomm,Technology,Semiconductors,152.22,8138444.0,1.03,-0.31,-3.54,-12.23,1.24,1.24,1.24
ORCL,Oracle,Technology,Software - Infrastructure,169.01,34429719.0,1.34,-2.19,-5.15,-13.5,5.82,5.82,5.82
CUK,CUK,Consumer Cyclical,Travel Services,30.94,5630396.0,2.45,8.6,9.25,1.71,0.17,0.17,0.17
BTG,BTG,Basic Materials,Gold,5.55,82874603.0,1.62,-3.81,6.73,22.25,0.46,0.46,0.46
LRCX,Lam Research,Technology,Semiconductor Equipment & Materials,248.17,16525335.0,1.37,3.59,12.45,41.11,4.1,4.1,4.1
NOW,NOW,Technology,Software - Application,116.73,52367756.0,3.27,-9.94,-9.2,-24.49,6.11,6.11,6.11
PLXS,PLXS,Technology,Electronic Components,197.6,852038.0,2.38,9.26,9.01,30.61,0.17,0.17,0.17
MRSH,MRSH,Financial Services,Insurance Brokers,187.92,2956504.0,0.93,5.47,4.02,0.15,0.56,0.56,0.56
CL=F,Crude Oil (原油),Other,Other,65.41,526181.0,1.63,3.48,10.19,12.62,0.03,0.03,0.03
TT,TT,Industrials,Building Products & Equipment,426.07,3955359.0,1.9,8.08,9.21,8.09,1.69,1.69,1.69
SMCI,Super Micro,Technology,Computer Hardware,30.12,27716826.0,1.08,-3.49,-7.18,0.13,0.83,0.83,0.83
INTC,Intel,Technology,Semiconductors,48.66,122760158.0,0.64,-0.25,-10.42,32.66,5.97,5.97,5.97
MSFT,Microsoft,Technology,Software - Infrastructure,433.5,127359950.0,4.01,-9.99,-3.91,-11.0,55.21,55.21,55.21
NIO,NIO,Consumer Cyclical,Auto Manufacturers,4.77,72243773.0,1.99,3.92,0.0,-10.67,0.34,0.34,0.34
F,F,Consumer Cyclical,Auto Manufacturers,14.0,72046536.0,1.26,1.3,2.12,5.42,1.01,1.01,1.01
NOK,NOK,Technology,Communication Equipment,6.29,82063801.0,1.98,-7.77,-3.23,-4.41,0.52,0.52,0.52
NFLX,Netflix,Communication Services,Entertainment,83.16,41997040.0,0.84,-1.75,-0.45,-11.67,3.49,3.49,3.49
JPM,JPMorgan,Financial Services,Banks - Diversified,306.42,8598109.0,0.79,1.88,0.92,-5.35,2.63,2.63,2.63
^VIX,VIX,Index,Market Index,16.88,0.0,0.0,3.24,7.93,18.87,0.0,0.0,0.0
RSI,RSI,Consumer Cyclical,Gambling,17.78,2086802.0,0.75,6.15,0.11,-9.97,0.04,0.04,0.04
AMAT,Applied Mat,Technology,Semiconductor Equipment & Materials,341.34,6496206.0,0.97,1.36,7.07,29.76,2.22,2.22,2.22
BFH,BFH,Financial Services,Credit Services,73.03,1478188.0,1.96,7.08,2.84,-2.86,0.11,0.11,0.11
TXN,Texas Inst,Technology,Semiconductors,218.97,14014423.0,1.31,1.3,12.3,24.63,3.07,3.07,3.07
BTC-USD,Bitcoin,Crypto,Cryptocurrency,84312.61,62602203136.0,1.79,-5.46,-5.38,-7.38,5278155.1,5278155.1,5278155.1
AAL,AAL,Industrials,Airlines,13.51,69060491.0,1.26,0.52,-10.05,-10.77,0.93,0.93,0.93
RCI,RCI,Communication Services,Telecom Services,38.57,2705026.0,2.26,6.28,3.99,2.85,0.1,0.1,0.1
NU,NU,Financial Services,Banks - Regional,18.76,60556243.0,1.08,0.0,4.22,12.61,1.14,1.14,1.14
MOD,MOD,Consumer Cyclical,Auto Parts,176.72,3865107.0,4.0,20.3,19.79,29.76,0.68,0.68,0.68
AVGO,Broadcom,Technology,Semiconductors,330.73,19336917.0,0.75,-0.75,1.61,-5.34,6.4,6.4,6.4
PYPL,PayPal,Financial Services,Credit Services,53.11,19384285.0,1.45,-1.79,-7.07,-10.72,1.03,1.03,1.03
AAPL,Apple,Technology,Consumer Electronics,258.28,55636341.0,1.22,0.72,4.0,-5.65,14.37,14.37,14.37
PLUG,PLUG,Industrials,Electrical Equipment & Parts,2.34,98214577.0,0.8,-4.49,-9.65,18.78,0.23,0.23,0.23
MA,Mastercard,Financial Services,Credit Services,543.73,4750621.0,0.98,4.29,2.04,-5.91,2.58,2.58,2.58
SOFI,SOFI,Financial Services,Credit Services,24.36,66555880.0,1.72,-0.98,-6.63,-9.17,1.62,1.62,1.62
^IXIC,Nasdaq,Index,Market Index,23685.12,7168974000.0,0.88,-0.72,1.06,0.9,169798.02,169798.02,169798.02
INOD,INOD,Technology,Information Technology Services,63.86,4302823.0,4.19,14.36,5.19,22.62,0.27,0.27,0.27
ALGM,ALGM,Technology,Semiconductors,37.98,9536701.0,3.72,9.93,12.33,43.16,0.36,0.36,0.36
HRC=F,Steel (熱軋鋼),Other,Other,960.0,24.0,0.61,-1.23,1.8,5.96,0.0,0.0,0.0
VIAV,VIAV,Technology,Communication Equipment,24.7,15608011.0,2.79,17.45,27.32,36.46,0.39,0.39,0.39
^SOX,PHLX Semi,Index,Market Index,8320.39,0.0,0.0,0.16,3.29,15.91,0.0,0.0,0.0
MU,Micron,Technology,Semiconductors,435.79,40418023.0,1.1,0.12,9.61,48.04,17.61,17.61,17.61
WRBY,WRBY,Healthcare,Medical Instruments & Supplies,26.86,2788208.0,1.16,5.87,0.41,16.78,0.07,0.07,0.07
VIK,VIK,Consumer Cyclical,Travel Services,74.29,3942463.0,1.84,6.69,6.6,1.96,0.29,0.29,0.29
LLY,Eli Lilly,Healthcare,Drug Manufacturers - General,1024.14,1744421.0,0.66,0.03,-5.82,-5.06,1.79,1.79,1.79
DNN,DNN,Energy,Uranium,4.24,62160612.0,1.11,-1.62,8.16,57.04,0.26,0.26,0.26
