Code,Name,Theme,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Vol_Chg%,Weekly_Vol_Chg%,Monthly_Vol_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B
MARA,"MARA Holdings, Inc.",🔥 交易熱門,9.91,45296200.0,1.74,10.36,-0.3,-16.79,48.3,243.97,-1.8,0.45,0.45,0.45
SMCI,Super Micro,伺服器,30.96,30595900.0,1.76,5.77,1.34,-5.95,23.15,349.57,57.43,0.95,0.95,0.95
NFLX,"Netflix, Inc.",🔥 交易熱門,90.99,41050100.0,1.94,-2.95,-2.83,-16.79,74.72,230.31,59.34,3.74,3.74,3.74
NIO,NIO Inc.,🔥 交易熱門,5.14,40104100.0,0.68,0.78,4.68,2.19,-51.85,201.98,-8.05,0.21,0.21,0.21
BIDU,"Baidu, Inc.",🚀 漲幅排行,150.3,11974600.0,5.29,15.03,21.84,26.31,406.75,2408.82,814.86,1.8,1.8,1.8
LEU,Centrus Energy Corp.,🚀 漲幅排行,272.5,1069100.0,1.86,12.25,4.74,2.61,75.93,212.88,43.41,0.29,0.29,0.29
MSFT,Microsoft,軟體,472.94,25539600.0,2.32,-2.21,-3.09,-3.48,63.7,336.13,30.55,12.08,12.08,12.08
PATH,UiPath Inc.,🔥 交易熱門,15.88,44070600.0,1.24,-3.11,-7.46,11.05,-37.08,27.38,136.31,0.7,0.7,0.7
WULF,TeraWulf Inc.,🚀 漲幅排行,12.74,25934100.0,1.74,10.88,3.49,-10.41,33.44,217.52,-19.7,0.33,0.33,0.33
QBTS,D-Wave Quantum Inc.,🔥 交易熱門,28.13,48290900.0,1.49,7.57,2.22,25.02,33.53,105.64,143.65,1.36,1.36,1.36
CLSK,"CleanSpark, Inc.",🚀 漲幅排行,11.55,22011500.0,1.55,14.13,1.32,-15.75,29.09,130.29,-45.1,0.25,0.25,0.25
^IXIC,Nasdaq,那指,23235.63,7331460000.0,1.3,-0.03,-1.6,-0.76,24.36,88.7,-3.39,170351.1,170351.1,170351.1
NXE,NexGen Energy Ltd.,🚀 漲幅排行,10.25,13128700.0,3.79,11.41,8.47,13.26,208.95,483.03,84.91,0.13,0.13,0.13
APLD,Applied Digital Corporation,🔥 交易熱門,28.11,35941400.0,1.9,14.64,9.29,0.21,23.61,357.28,9.1,1.01,1.01,1.01
IREN,IREN Limited,🚀 漲幅排行,42.7,30404800.0,1.63,13.05,1.72,3.84,44.91,183.87,-63.46,1.3,1.3,1.3
FLNC,"Fluence Energy, Inc.",🚀 漲幅排行,23.01,6087000.0,2.64,16.33,16.04,15.28,198.24,301.04,6.98,0.14,0.14,0.14
BBAI,"BigBear.ai Holdings, Inc.",🔥 交易熱門,5.84,55861500.0,1.47,8.15,-3.15,0.86,61.76,98.44,-6.83,0.33,0.33,0.33
^GSPC,S&P 500,標普,6858.47,4184120000.0,1.44,0.19,-1.06,0.43,28.28,132.67,-8.69,28696.66,28696.66,28696.66
BE,Bloom Energy Corporation,🚀 漲幅排行,98.69,11539700.0,2.42,13.58,7.41,-6.01,111.17,543.99,-27.56,1.14,1.14,1.14
ASTS,"AST SpaceMobile, Inc.",🚀 漲幅排行,83.47,19033200.0,1.08,14.92,6.94,46.72,82.35,-27.46,114.0,1.59,1.59,1.59
F,Ford Motor Company,🔥 交易熱門,13.34,46329000.0,2.1,1.68,-0.15,2.93,76.14,225.63,-19.63,0.62,0.62,0.62
OPEN,Opendoor Technologies Inc.,🔥 交易熱門,6.07,38348700.0,0.96,4.12,-3.34,-13.16,-16.24,96.16,-38.17,0.23,0.23,0.23
BMNR,"Bitmine Immersion Technologies, Inc.",🔥 交易熱門,31.19,58229100.0,1.98,14.88,6.27,-2.26,71.88,170.25,-3.28,1.82,1.82,1.82
PLTR,Palantir Technologies Inc.,🔥 交易熱門,167.86,60335400.0,2.68,-5.56,-13.55,-1.66,162.36,415.24,70.59,10.13,10.13,10.13
META,Meta,社群,650.41,13704300.0,1.78,-1.47,-2.57,0.51,72.59,143.52,17.73,8.91,8.91,8.91
^SOX,PHLX Semi,費半,7367.47,0.0,0.0,4.01,2.26,3.05,0.0,0.0,0.0,0.0,0.0,0.0
UUUU,Energy Fuels Inc.,🚀 漲幅排行,16.68,14897800.0,2.13,14.72,10.46,10.83,129.68,329.46,89.23,0.25,0.25,0.25
AAOI,"Applied Optoelectronics, Inc.",🚀 漲幅排行,39.6,4850200.0,1.62,13.6,-3.41,52.19,76.74,104.65,39.7,0.19,0.19,0.19
COIN,Coinbase,幣所,236.53,8743700.0,1.53,4.59,-1.33,-10.15,30.93,125.99,-3.48,2.07,2.07,2.07
TSM,TSMC,晶圓,319.61,18499300.0,3.25,5.17,6.96,9.42,126.29,571.75,72.14,5.91,5.91,5.91
PLUG,Plug Power Inc.,🔥 交易熱門,2.23,120341600.0,1.83,13.2,6.19,5.69,49.05,153.43,-1.21,0.27,0.27,0.27
RIVN,"Rivian Automotive, Inc.",🔥 交易熱門,19.41,42685200.0,1.91,-1.52,-8.14,12.65,97.86,301.57,23.94,0.83,0.83,0.83
