Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B,Market_Cap_B
AMZN,Amazon,Consumer Cyclical,Internet Retail,207.92,43590552.0,0.92,-1.29,1.49,-15.02,9.06,9.06,9.06,2232.0
MSTR,MicroStrategy,Technology,Software - Application,133.4,17999283.0,0.98,-1.66,3.05,-17.44,2.4,2.4,2.4,44.52
IMAX,IMAX,Communication Services,Entertainment,41.77,3903593.0,3.93,14.38,10.85,20.2,0.16,0.16,0.16,2.25
PRMB,PRMB,Consumer Defensive,Beverages - Non-Alcoholic,22.65,15943756.0,2.38,15.38,21.19,18.96,0.36,0.36,0.36,8.39
JPM,JPMorgan,Financial Services,Banks - Diversified,306.13,5181241.0,0.53,0.93,-0.62,1.94,1.59,1.59,1.59,825.64
TXG,TXG,Healthcare,Health Information Services,22.13,3711735.0,1.6,12.56,15.32,2.36,0.08,0.08,0.08,2.83
MA,Mastercard,Financial Services,Credit Services,514.77,4114744.0,0.95,1.06,-1.06,-1.08,2.12,2.12,2.12,459.4
CZR,CZR,Consumer Cyclical,Resorts & Casinos,24.74,16891724.0,3.13,19.11,13.02,14.64,0.42,0.42,0.42,5.05
TXN,Texas Inst,Technology,Semiconductors,212.63,5681337.0,0.82,-0.59,-2.49,8.14,1.21,1.21,1.21,193.2
JNJ,J&J,Healthcare,Drug Manufacturers - General,243.47,5508368.0,0.6,-0.69,-1.39,8.48,1.34,1.34,1.34,586.74
VERX,VERX,Technology,Software - Application,14.84,2614575.0,1.0,10.83,15.85,-23.23,0.04,0.04,0.04,2.37
GOOG,Alphabet,Communication Services,Internet Content & Information,307.15,21600257.0,1.08,-1.88,1.18,-8.31,6.63,6.63,6.63,3715.59
PATH,PATH,Technology,Software - Infrastructure,10.71,49944428.0,1.52,7.75,-4.46,-25.42,0.53,0.53,0.53,5.73
NAVN,NAVN,Technology,Software - Application,10.59,1461383.0,1.17,13.87,3.52,-26.1,0.02,0.02,0.02,2.63
FIGS,FIGS,Consumer Cyclical,Apparel Manufacturing,12.47,8588356.0,2.59,13.78,12.24,9.0,0.11,0.11,0.11,2.05
SMCI,Super Micro,Technology,Computer Hardware,32.28,25081211.0,0.89,-3.93,0.37,3.46,0.81,0.81,0.81,19.34
MU,Micron,Technology,Semiconductors,415.56,35110959.0,1.28,-3.13,-0.43,1.3,14.59,14.59,14.59,467.72
