Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B
AMAT,Applied Mat,Technology,Semiconductor Equipment & Materials,322.51,8216823.0,0.8,6.09,0.06,10.37,2.65,2.65,2.65
^VIX,VIX,Index,Market Index,17.76,0.0,0.0,-18.42,1.83,15.47,0.0,0.0,0.0
NU,NU,Financial Services,Banks - Regional,17.4,49609390.0,0.98,3.51,-1.97,-0.57,0.86,0.86,0.86
PYPL,PayPal,Financial Services,Credit Services,40.42,34713498.0,0.6,1.3,-23.29,-30.92,1.4,1.4,1.4
MU,Micron,Technology,Semiconductors,394.69,36957411.0,0.81,3.08,-4.87,16.24,14.59,14.59,14.59
^DJI,Dow Jones,Index,Market Index,50115.67,772919440.0,1.08,2.47,2.5,2.29,38735.38,38735.38,38735.38
GC=F,Gold (黃金),Other,Other,4985.0,170382.0,40.67,2.54,5.75,12.04,0.85,0.85,0.85
DAVE,DAVE,Technology,Software - Application,183.22,800562.0,1.38,17.51,11.93,-21.95,0.15,0.15,0.15
^GSPC,S&P 500,Index,Market Index,6932.3,3835601000.0,0.56,1.97,-0.1,0.16,26589.54,26589.54,26589.54
SMCI,Super Micro,Technology,Computer Hardware,34.38,48881871.0,0.91,11.44,18.1,14.56,1.68,1.68,1.68
NFLX,Netflix,Communication Services,Entertainment,82.2,45642915.0,0.95,1.64,-1.55,-9.4,3.75,3.75,3.75
HUT,HUT,Financial Services,Capital Markets,53.06,6103866.0,0.77,19.29,-4.96,-8.33,0.32,0.32,0.32
LLY,Eli Lilly,Healthcare,Drug Manufacturers - General,1058.18,3359195.0,0.64,3.66,2.03,-4.5,3.55,3.55,3.55
NVDA,NVIDIA,Technology,Semiconductors,185.41,223337250.0,1.16,7.87,-2.99,-1.96,41.41,41.41,41.41
QUBT,QUBT,Technology,Computer Hardware,9.43,20620569.0,1.28,20.74,1.73,-19.06,0.19,0.19,0.19
SI=F,Silver (白銀),Other,Other,77.46,104865.0,219.84,1.22,-1.06,0.42,0.01,0.01,0.01
^SOX,PHLX Semi,Index,Market Index,8048.62,0.0,0.0,5.7,0.63,6.25,0.0,0.0,0.0
JNJ,J&J,Healthcare,Drug Manufacturers - General,239.99,7132142.0,0.75,0.93,5.61,15.66,1.71,1.71,1.71
CADE,CADE,Financial Services,Banks - Regional,42.11,80610979.0,23.12,-1.66,-1.86,-2.39,3.39,3.39,3.39
CL=F,Crude Oil (原油),Other,Other,63.45,399640.0,0.93,0.25,-2.7,13.32,0.03,0.03,0.03
UAA,UAA,Consumer Cyclical,Apparel Manufacturing,7.56,28179658.0,2.32,20.38,22.53,32.17,0.21,0.21,0.21
JPM,JPMorgan,Financial Services,Banks - Diversified,322.4,10165624.0,0.95,3.95,5.4,-1.4,3.28,3.28,3.28
QBTS,QBTS,Technology,Computer Hardware,20.72,35542488.0,1.11,20.4,-2.36,-31.39,0.74,0.74,0.74
