Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B
CPAY,CPAY,Technology,Software - Infrastructure,335.0,1149163.0,1.21,11.56,3.93,5.47,0.38,0.38,0.38
MSTR,MicroStrategy,Technology,Software - Application,106.99,56397088.0,2.07,-17.12,-25.28,-32.27,6.03,6.03,6.03
CAH,CAH,Healthcare,Medical Distribution,227.18,3545004.0,1.81,9.83,7.55,8.97,0.81,0.81,0.81
ROAD,ROAD,Industrials,Engineering & Construction,127.65,1670741.0,3.75,11.22,13.18,10.68,0.21,0.21,0.21
JNJ,J&J,Healthcare,Drug Manufacturers - General,237.79,8362346.0,0.89,1.42,4.62,16.11,1.99,1.99,1.99
PLTR,Palantir,Technology,Software - Infrastructure,130.01,91134752.0,1.12,-6.83,-14.39,-27.66,11.85,11.85,11.85
^GSPC,S&P 500,Index,Market Index,6798.4,4330553000.0,0.64,-1.23,-2.45,-2.11,29440.83,29440.83,29440.83
ORCL,Oracle,Technology,Software - Infrastructure,136.48,37358261.0,0.95,-6.95,-19.25,-29.56,5.1,5.1,5.1
SI=F,Silver (白銀),Other,Other,71.43,157123.0,188.4,-15.14,-37.37,-11.31,0.01,0.01,0.01
GRAB,GRAB,Technology,Software - Application,4.15,70041844.0,1.2,-0.95,-7.16,-21.25,0.29,0.29,0.29
SNAP,SNAP,Communication Services,Internet Content & Information,5.12,163077231.0,2.35,-13.37,-29.28,-41.75,0.83,0.83,0.83
SOFI,SOFI,Financial Services,Credit Services,19.46,84308042.0,0.95,-6.22,-20.11,-27.87,1.64,1.64,1.64
HIMS,HIMS,Healthcare,Drug Manufacturers - Specialty & Generic,23.48,67297271.0,3.04,-3.77,-21.39,-33.78,1.58,1.58,1.58
LITE,LITE,Technology,Communication Equipment,504.42,8458895.0,1.14,8.35,32.24,26.92,4.27,4.27,4.27
KGS,KGS,Energy,Oil & Gas Equipment & Services,47.31,4701111.0,3.92,11.58,15.14,32.63,0.22,0.22,0.22
^IXIC,Nasdaq,Index,Market Index,22540.59,8106661000.0,0.84,-1.59,-4.83,-4.27,182728.89,182728.89,182728.89
PFE,PFE,Healthcare,Drug Manufacturers - General,26.49,66804809.0,1.03,-1.08,1.49,4.17,1.77,1.77,1.77
HSY,HSY,Consumer Defensive,Confectioners,224.38,5074302.0,2.44,9.03,17.76,25.16,1.14,1.14,1.14
^DJI,Dow Jones,Index,Market Index,48908.72,710270313.0,0.99,-1.2,-0.33,-1.12,34738.41,34738.41,34738.41
TPR,TPR,Consumer Cyclical,Luxury Goods,143.19,6511184.0,2.56,10.21,12.46,7.52,0.93,0.93,0.93
MARA,MARA,Financial Services,Capital Markets,6.73,77952593.0,1.67,-18.72,-31.74,-34.72,0.52,0.52,0.52
MCK,MCK,Healthcare,Medical Distribution,957.8,2092158.0,2.33,16.52,16.48,15.88,2.0,2.0,2.0
CFLT,CFLT,Technology,Software - Infrastructure,30.36,62369410.0,2.08,0.1,-0.69,0.6,1.89,1.89,1.89
MSFT,Microsoft,Technology,Software - Infrastructure,393.67,65025347.0,0.97,-4.95,-9.19,-17.73,25.6,25.6,25.6
CADE,CADE,Financial Services,Banks - Regional,42.11,80610979.0,23.12,-1.66,-1.86,-2.39,3.39,3.39,3.39
AMAT,Applied Mat,Technology,Semiconductor Equipment & Materials,303.99,8429537.0,0.84,2.15,-10.94,2.7,2.56,2.56,2.56
PANW,Palo Alto,Technology,Software - Infrastructure,154.77,12737757.0,1.39,-7.17,-12.16,-16.73,1.97,1.97,1.97
SITM,SITM,Technology,Semiconductors,410.29,1315454.0,2.83,17.91,12.23,19.01,0.54,0.54,0.54
META,Meta,Communication Services,Internet Content & Information,670.21,16561885.0,0.64,0.18,-9.22,1.45,11.1,11.1,11.1
CLS,CLS,Technology,Electronic Components,294.89,5091948.0,1.02,6.9,-1.7,-3.31,1.5,1.5,1.5
CL=F,Crude Oil (原油),Other,Other,63.09,345623.0,0.79,-3.15,-3.56,10.43,0.02,0.02,0.02
COST,Costco,Consumer Defensive,Discount Stores,989.29,2750581.0,1.12,1.12,3.82,11.27,2.72,2.72,2.72
KLIC,KLIC,Technology,Semiconductor Equipment & Materials,66.4,2797949.0,3.43,19.27,12.83,23.86,0.19,0.19,0.19
BBD,BBD,Financial Services,Banks - Regional,4.0,59488068.0,1.41,1.27,-3.61,12.68,0.24,0.24,0.24
LLY,Eli Lilly,Healthcare,Drug Manufacturers - General,1020.84,6253990.0,1.49,-7.79,-0.32,-4.06,6.38,6.38,6.38
LRCX,Lam Research,Technology,Semiconductor Equipment & Materials,213.31,10667877.0,0.65,1.68,-14.05,3.07,2.28,2.28,2.28
NFLX,Netflix,Communication Services,Entertainment,80.87,54207282.0,1.19,0.89,-2.75,-10.79,4.38,4.38,4.38
BMNR,BMNR,Financial Services,Capital Markets,17.4,65377298.0,1.25,-14.29,-34.83,-46.18,1.14,1.14,1.14
OPEN,OPEN,Real Estate,Real Estate Services,4.7,62061296.0,1.14,-6.0,-15.77,-32.18,0.29,0.29,0.29
SMCI,Super Micro,Technology,Computer Hardware,30.85,56408621.0,1.19,-8.62,2.42,1.02,1.74,1.74,1.74
