Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B,Market_Cap_B
BW,BW,Industrials,Specialty Industrial Machinery,18.91,9167377.0,3.37,30.06,25.4,8.43,0.17,0.17,0.17,2.57
INTC,Intel,Technology,Semiconductors,129.44,178149944.0,1.08,3.62,35.14,107.5,23.06,23.06,23.06,650.57
QCOM,Qualcomm,Technology,Semiconductors,237.53,44023677.0,1.25,8.42,41.07,85.48,10.46,10.46,10.46,250.36
HG=F,Copper (銅),Index,Market Index,6.49,243.0,0.29,3.82,11.96,10.52,0.0,0.0,0.0,0.0
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,149.68,13936875.0,0.78,3.53,-2.61,-1.86,2.09,2.09,2.09,620.42
AAOI,AAOI,Technology,Communication Equipment,184.9,16187787.0,1.3,24.14,6.89,22.78,2.99,2.99,2.99,14.84
GLW,GLW,Technology,Electronic Components,207.39,22244852.0,1.17,10.94,29.65,21.11,4.61,4.61,4.61,178.49
TXN,Texas Inst,Technology,Semiconductors,297.76,8976969.0,1.15,3.46,6.01,38.67,2.67,2.67,2.67,270.99
ASTS,ASTS,Technology,Communication Equipment,82.55,32622584.0,1.75,9.99,20.63,-13.01,2.69,2.69,2.69,32.03
VICR,VICR,Technology,Electronic Components,312.96,1775226.0,2.42,22.03,24.68,68.61,0.56,0.56,0.56,14.27
PLTR,Palantir,Technology,Software - Infrastructure,136.89,41029869.0,0.67,-0.66,-6.26,6.9,5.62,5.62,5.62,328.17
MSTR,MicroStrategy,Technology,Software - Application,195.94,14542009.0,0.91,4.45,6.61,52.32,2.85,2.85,2.85,68.67
BLLN,BLLN,Healthcare,Diagnostics & Research,105.94,1097784.0,0.99,13.96,46.89,30.58,0.12,0.12,0.12,4.87
WMT,Walmart,Consumer Defensive,Discount Stores,127.59,18345847.0,1.36,-2.18,-2.1,0.65,2.34,2.34,2.34,1017.02
AMD,AMD,Technology,Semiconductors,458.79,45036766.0,0.76,0.79,34.33,87.23,20.66,20.66,20.66,748.1
EXK,EXK,Basic Materials,Silver,11.32,11995030.0,1.02,12.86,24.53,20.17,0.14,0.14,0.14,3.35
MA,Mastercard,Financial Services,Credit Services,497.81,3151612.0,0.71,0.47,-1.37,-0.17,1.57,1.57,1.57,439.86
HIMX,HIMX,Technology,Semiconductors,20.65,13431005.0,1.41,16.08,78.63,124.21,0.28,0.28,0.28,3.6
BRK-B,Berkshire,Financial Services,Insurance - Diversified,479.55,4271577.0,0.73,0.76,2.35,-0.07,2.05,2.05,2.05,1034.32
F,F,Consumer Cyclical,Auto Manufacturers,12.05,44500082.0,1.0,-2.19,4.78,-0.66,0.54,0.54,0.54,48.02
GOOG,Alphabet,Communication Services,Internet Content & Information,386.77,16189009.0,0.94,-2.59,1.88,22.5,6.26,6.26,6.26,4685.89
CL=F,Crude Oil (原油),Index,Market Index,98.14,390.0,0.0,2.85,-7.78,1.63,0.0,0.0,0.0,0.0
LQDA,LQDA,Healthcare,Drug Manufacturers - Specialty & Generic,53.13,6861722.0,6.2,25.6,38.07,37.82,0.36,0.36,0.36,4.72
RKLB,RKLB,Industrials,Aerospace & Defense,117.35,53473345.0,1.72,11.26,46.12,72.45,6.28,6.28,6.28,67.92
ONDS,ONDS,Technology,Communication Equipment,9.42,43588797.0,0.92,3.97,-3.19,3.18,0.41,0.41,0.41,4.62
MSFT,Microsoft,Technology,Software - Infrastructure,412.66,34355600.0,1.13,-0.59,-0.23,11.27,14.18,14.18,14.18,3065.42
GC=F,Gold (黃金),Index,Market Index,4748.9,798.0,3.42,0.6,5.08,-0.27,0.0,0.0,0.0,0.0
LLY,Eli Lilly,Healthcare,Drug Manufacturers - General,966.99,2414984.0,0.69,1.95,-0.1,2.93,2.34,2.34,2.34,862.3
