Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B,Market_Cap_B
LLY,Eli Lilly,Healthcare,Drug Manufacturers - General,1129.35,3150305.0,0.97,-0.32,-1.72,12.18,3.56,3.56,3.56,1007.09
MRVL,MRVL,Technology,Semiconductors,308.88,50306597.0,0.76,10.43,6.93,69.18,15.54,15.54,15.54,270.21
RDDT,RDDT,Communication Services,Internet Content & Information,181.88,4386975.0,1.07,12.2,6.28,16.36,0.8,0.8,0.8,35.01
DIS,Disney,Communication Services,Entertainment,101.69,8105484.0,0.99,1.65,2.85,-3.54,0.82,0.82,0.82,176.59
CL=F,Crude Oil (原油),Index,Market Index,81.39,790.0,0.0,-4.11,-10.85,-19.55,0.0,0.0,0.0,0.0
T,T,Communication Services,Telecom Services,23.29,47217471.0,1.06,-1.23,3.51,-5.52,1.1,1.1,1.1,161.83
NU,NU,Financial Services,Banks - Regional,12.43,62102935.0,1.31,1.97,7.16,-3.87,0.77,0.77,0.77,60.43
XNDU,XNDU,Technology,Software - Infrastructure,13.94,6989396.0,2.94,18.24,6.66,-7.87,0.1,0.1,0.1,4.16
RDW,RDW,Industrials,Aerospace & Defense,14.83,39103424.0,0.73,-1.92,-20.14,6.0,0.58,0.58,0.58,2.95
SEZL,SEZL,Financial Services,Credit Services,146.12,963592.0,1.74,10.11,20.6,41.26,0.14,0.14,0.14,4.91
INFQ,INFQ,Technology,Software - Infrastructure,14.82,15037520.0,1.2,10.43,0.07,6.08,0.22,0.22,0.22,3.23
OUST,OUST,Technology,Electronic Components,45.18,4589612.0,1.12,13.52,10.52,29.6,0.21,0.21,0.21,2.88
BRK-B,Berkshire,Financial Services,Insurance - Diversified,495.52,6246958.0,1.23,1.28,1.75,2.37,3.1,3.1,3.1,1068.76
XE,XE,Industrials,Specialty Industrial Machinery,21.1,6392355.0,1.39,13.5,-5.89,-27.89,0.13,0.13,0.13,6.07
^SOX,PHLX Semi,Index,Market Index,14099.62,0.0,0.0,5.45,9.24,16.78,0.0,0.0,0.0,0.0
